source,target,language_pair,legal_category,legal_entity
"Done at Brussels, 17 December 2003.","Brüssel, den 17. Dezember 2003",en-de,Administrative Law,
"receive transparent information on applicable prices and tariffs and on standard terms and conditions, in respect of access to and use of electricity services;",transparente Informationen über geltende Preise und Tarife sowie über die Standardbedingungen für den Zugang zu Elektrizitätsdienstleistungen und deren Inanspruchnahme erhalten;,en-de,Tax & Financial Regulation,"information, access, use"
"Pursuant to Article 59(2)(a) of the Council Regulation concerning jurisdiction and the recognition and enforcement of judgments in matrimonial matters and matters of parental responsibility, repealing Regulation (EC) No 1347/2000, Finland hereby declares that the Convention of 6 February 1931 between Finland, Denmark, Iceland, Norway and Sweden comprising international private law provisions on marriage, adoption and guardianship, together with the Final Protocol thereto, will apply in full in relations between Finland and Sweden, in place of the rules of the Regulation.","Gemäß Artikel 59 Absatz 2 Buchstabe a) der Verordnung des Rates über die Zuständigkeit und Anerkennung und Vollstreckung von Entscheidungen in Ehesachen und in Verfahren betreffend die elterliche Verantwortung und zur Änderung der Verordnung (EG) Nr. 1347/2000 erklärt Finnland, dass das Übereinkommen vom 6. Februar 1931 zwischen Finnland, Dänemark, Island, Norwegen und Schweden mit Bestimmungen des internationalen Verfahrensrechts über Ehe, Adoption und Vormundschaft einschließlich des Schlussprotokolls anstelle dieser Verordnung in den gegenseitigen Beziehungen zwischen Finnland und Schweden in vollem Umfang zur Anwendung kommt.",en-de,Family Law & Estates/Trusts,"protocol, adoption, regulation, guardianship, article, marriage, rules, jurisdiction, will, law"
"The effluent from settling vessel D is accumulated in vessel F for 24 hours, following which a sample is taken after thorough mixing.",Das aus dem Absetzgefäß D abfließende Wasser wird in dem Sammelgefäß F während 24 Stunden aufgefangen; nach Ablauf dieser Zeit wird nach gründlichem Durchmischen die Probe entnommen.,en-de,Administrative Law,
"Directive as last amended by Commission Directive 2001/116/EC (OJ L 18, 21.1.2002, p. 1).","Zuletzt geändert durch die Richtlinie 2001/116/EG der Kommission (ABl. L 18 vom 21.1.2002, S. 1).",en-de,Tax & Financial Regulation,commission
The Commission shall make this information publicly available.,Die Angaben werden von der Kommission veröffentlicht.,en-de,Tax & Financial Regulation,"commission, make, information"
Whether there has been resort to judicial review proceedings either by liable parties or qualified entities.,"Eine Angabe, ob von den haftenden Parteien oder qualifizierten Stellen eine gerichtliche Überprüfung eingeleitet wurde.",en-de,Legal Theory & Latin Terms,"review, judicial, liable"
the product is a traditional herbal medicinal product for use in specified indication(s) exclusively based upon long-standing use; and,das Produkt ein traditionelles pflanzliches Arzneimittel zur Verwendung für ein spezifiziertes Anwendungsgebiet/spezifizierte Anwendungsgebiete ausschließlich aufgrund langjähriger Anwendung ist und,en-de,Legal Theory & Latin Terms,"standing, use"
Agria,Agria,en-de,Administrative Law,
No application in respect of any one type of vehicle may be submitted to more than one Member State.,Für ein und denselben Fahrzeugtyp kann der Antrag auf Erteilung der Betriebserlaubnis jeweils nur in einem Mitgliedstaat gestellt werden.,en-de,Administrative Law,"member, state"
"In Rule 89 a new paragraph 6 is added:""The files kept by the Office relating to international registrations designating the European Community may be inspected on request as from the date of publication referred to in Article 147(1) of the Regulation, under the conditions laid down in paragraphs (1), (3) and (4) and subject to Rule 88.""","Regel 89 wird eine neuer Absatz 6 hinzugefügt:""Die vom Amt geführten Akten über internationale Registrierungen, in denen die Europäische Gemeinschaft benannt ist, können vorbehaltlich der Regel 88 auf Antrag ab dem Tag der Veröffentlichung gemäß Artikel 147 Absatz 1 der Verordnung unter den in Absatz 1, 3 und 4 festgelegten Bedingungen eingesehen werden.""",en-de,Administrative Law,"regulation, rule, article, publication, request"
"In order to facilitate and accelerate cooperation, and more particularly exchange of information, Member States shall designate one single competent authority as a contact point for the purposes of this Directive.",Zur Erleichterung und Beschleunigung der Zusammenarbeit und insbesondere des Informations-austauschs benennen die Mitgliedstaaten für die Zwecke dieser Richtlinie eine einzige zuständige Behörde als Kontaktstelle.,en-de,Administrative Law,"authority, member, exchange, order, competent, information"
"Community workers must be granted minimum daily, weekly and annual periods of rest and adequate breaks.","Arbeitnehmern in der Gemeinschaft müssen Mindestruhezeiten - je Tag, Woche und Jahr - sowie angemessene Ruhepausen zugestanden werden.",en-de,Administrative Law,
"In Article 135(4), the following sentence is added:",Dem Artikel 135 Absatz 4 wird folgender Satz angefügt:,en-de,Criminal Law & Procedure,"sentence, article"
Germany - Poland,Deutschland - Polen,en-de,Administrative Law,
the proceeds represent surplus assets that are not needed for the policy to meet all the related employee benefit obligations;,"die Erlöse stellen Überschüsse dar, die für die Erfuellung sämtlicher Leistungsverpflichtungen gegenüber Arbeitnehmern im Zusammenhang mit der Police nicht benötigt werden;",en-de,Contract Law,"policy, represent, employee, benefit"
workers officiating at religious ceremonies in churches and religious communities.,"Arbeitnehmer, die im liturgischen Bereich von Kirchen oder Religionsgemeinschaften beschäftigt sind.",en-de,Administrative Law,
"The database provided for in paragraph 1(l) shall include the summaries of product characteristics, the patient or user package leaflet and the information shown on the labelling.","Die in Absatz 1 Buchstabe l) genannte Datenbank enthält die Zusammenfassung der Merkmale des Arzneimittels, die für den Patienten oder Benutzer bestimmte Packungsbeilage sowie die Informationen auf der Etikettierung.",en-de,Healthcare Law,"information, database"
"2-hydroxy-4-isopropyl-2,4,6-cycloheptatrien-1-one","2-Hydroxy-4-isopropyl-2,4,6-cycloheptatrien-1-on",en-de,Administrative Law,
The combination of the fall in prices and loss of market share to imports occurred at the same time as a significant fall in the profitability of the Community producers (discussed below).,Der Preisrückgang und der Verlust von Marktanteilen zugunsten der Einfuhren fielen zeitlich mit einem bedeutenden Rückgang der Rentabilität der Gemeinschaftshersteller zusammen (siehe unten).,en-de,Administrative Law,"share, loss"
invalidity benefits;,Leistungen bei Invalidität;,en-de,Administrative Law,
"In order to establish that the presence of this material is adventitious or technically unavoidable, operators must be in a position to demonstrate to the competent authorities that they have taken appropriate steps to avoid the presence of such materials.","Damit festgestellt werden kann, dass das Vorhandensein dieses Stoffes zufällig oder technisch nicht zu vermeiden ist, müssen die Unternehmer den zuständigen Behörden nachweisen können, dass sie geeignete Schritte unternommen haben, um das Vorhandensein derartiger Materialien zu vermeiden.",en-de,Legal Theory & Latin Terms,"material, competent, order"
This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Communities.,Diese Verordnung tritt am 20. Tag nach ihrer Veröffentlichung im Amtsblatt der Europäischen Gemeinschaften in Kraft.,en-de,Administrative Law,"official, journal, publication, regulation"
Heat 5 000 ml of the solution obtained in item 2.4.2 to 333 K (60 °C) and pass the solution through the exchanger combination at a rate of 20 ml/min.,Dann werden 5 000 ml der nach 2.4.2 erhaltenen Lösung auf 333 K (60 ºC) erwärmt und die heisse Lösung mit einer Durchlaufgeschwindigkeit von 20 ml/min durch die Säulenkombination gegeben.,en-de,Administrative Law,k
References to Decision No 1254/96/EC shall be construed as references to this Decision.,Bezugnahmen auf die Entscheidung Nr. 1254/96/EG gelten als Bezugnahmen auf die vorliegende Entscheidung.,en-de,Legal Theory & Latin Terms,decision
"calcium tartrate or tartaric acid,",Kalziumtartrat oder Weinsäure;,en-de,Administrative Law,
"If the pensioner does not submit the certified statement, the institution of the place of residence shall obtain it directly from the institution or institutions responsible for payment of the pension or, where appropriate, from the institution empowered to issue such certified statement.","LEGT DER RENTNER DIESE BESCHEINIGUNG NICHT VOR , SO FORDERT DER TRÄGER DES WOHNORTS SIE BEI DEM ODER DEN ZUR ZAHLUNG EINER RENTE VERPFLICHTETEN TRÄGERN ODER GEGEBENENFALLS BEI DEM FÜR DIE AUSSTELLUNG DER BESCHEINIGUNG BEFUGTEN TRÄGER AN.",en-de,Tax & Financial Regulation,"submit, residence, issue, responsible, pension"
"The Council, acting by a qualified majority on a proposal from the Commission, may extend that period.""","Auf Vorschlag der Kommission kann der Rat diesen Zeitraum mit qualifizierter Mehrheit verlängern.""",en-de,Tax & Financial Regulation,"majority, commission"
The budget commitment is individual when the beneficiary and the amount of the expenditure are known.,Bei der Einzelmittelbindung stehen der Begünstigte und der Betrag der Ausgabe fest.,en-de,Family Law & Estates/Trusts,"beneficiary, commitment"
"Examples of these are the ""ISO/AOAC/IUPAC Guidelines on Internal Quality Control in Analytical Chemistry Laboratories"" (5).",Beispiele hierfür sind die International harmonisierten Richtlinien für Interne Qualitätskontrolle in Laboratorien für analytische Chemie der ISO/AOAC/IUPAC (Quelle 5).,en-de,Environmental Law,control
"For each subheading in Annex I (1.1, 2.3(a), 6.4(b) etc.), how many installations fall into the categories set out below:","Geben Sie für jede Unterüberschrift (Teilbereich) von Anhang I (1.1, 2.3 a), 6.4 b) usw.) an, wie viele Anlagen unter die nachfolgend genannten Kategorien fallen:",en-de,Administrative Law,set
Access to upstream pipeline networks,Zugang zu den vorgelagerten Rohrleitungsnetzen,en-de,Criminal Law & Procedure,access
"Therefore, in the absence of an agreement requiring that the profits of the associate will not be distributed in the foreseeable future, an investor recognises a deferred tax liability arising from taxable temporary differences associated with its investment in the associate.","Daher bilanziert ein Anteilseigner eine latente Steuerschuld aus einer zu versteuernden temporären Differenz in Verbindung mit seinem Anteil am assoziierten Unternehmen, falls nicht in einem Vertrag bestimmt ist, dass die Gewinne des assoziierten Unternehmens in absehbarer Zeit nicht ausgeschüttet werden.",en-de,Contract Law,"tax, associate, investor, agreement, investment, will, liability"
DG External Relations/A/2,DG/External Relations/A/2,en-de,Administrative Law,
The activities of the Agency in this field should not relieve coastal States of their responsibility to have appropriate pollution response mechanisms in place and should respect existing cooperation arrangements between Member States or groups of Member States in this field.,"Die diesbezüglichen Tätigkeiten der Agentur sollten die Küstenstaaten nicht von ihrer Verantwortung entbinden, angemessene Mechanismen zum Eingreifen bei Verschmutzung vorzusehen, und die entsprechenden Kooperationsvereinbarungen zwischen Mitgliedstaaten oder Gruppen von Mitgliedstaaten in diesem Bereich sollten beachtet werden.",en-de,Administrative Law,"member, pollution, response, agency"
take samples for examination and analysis;,zur Prüfung und Analyse Proben zu nehmen;,en-de,Civil Procedure & Litigation,examination
"The original IAS 17 provided a free choice of method in the allocation of finance income by a lessor, namely the recognition of income basing on a pattern reflecting a constant periodic rate of return based on either:","Der ursprüngliche IAS 17 umfasste ein freies Methodenwahlrecht für die Verteilung von Finanzerträgen eines Leasinggebers, nämlich die Erfassung von Erträgen anhand eines Schemas, welches eine konstante periodische Verzinsung einer der folgenden Beträge widerspiegelt:",en-de,Tax & Financial Regulation,"income, lessor"
Code identifying a language.,Code zur Identifizierung einer Sprache.,en-de,Administrative Law,code
"The various bodies of the Agency should establish and develop appropriate contacts with the parties concerned, in particular representatives of patients and health-care professionals.","Die verschiedenen Organe der Agentur sollten geeignete Kontakte zu den betroffenen Gruppen, insbesondere den Vertretern der Patienten und der Gesundheitsberufe aufnehmen und pflegen.",en-de,Healthcare Law,"health, agency, care"
3 assigning additional security personnel to monitor and patrol.,3 die Einteilung von zusätzlichem Sicherheitspersonal für Überwachung und Streifen.,en-de,Tax & Financial Regulation,security
This set always includes the activityChangeInfo coding the driver status at 00.00.,Dieser Datensatz enthält stets auch den ActivityChangeInfo-Wert für den Fahrerstatus um 0.00 Uhr.,en-de,Legal Theory & Latin Terms,"status, set"
Operating mode of installation influencing its throughput.,"Betriebsart, die für den Durchsatz der Anlage bestimmend ist",en-de,Administrative Law,
The Deputy Chairperson shall ex-officio replace the Chairperson in the event of his/her being prevented from attending to his/her duties.,Der stellvertretende Vorsitzende tritt im Fall der Verhinderung des Vorsitzenden von Amts wegen an dessen Stelle.,en-de,Administrative Law,
"Works contracts cover either the execution, or both the execution and design, of works or the realisation, by whatever means, of a work corresponding to the requirements specified by the contracting authority.","Gegenstand von Bauaufträgen können sein: entweder nur die Ausführung oder sowohl die Planung als auch die Ausführung von Bauvorhaben oder Bauwerken sowie die Erbringung von Bauleistungen, gleichgültig mit welchen Mitteln, gemäß den vom öffentlichen Auftraggeber genannten Erfordernissen.",en-de,Criminal Law & Procedure,"execution, authority"
Purpose,Gegenstand,en-de,Administrative Law,
Other Public Areas,Sonstige öffentliche Bereiche,en-de,Intellectual Property (IP),public
"This Regulation establishes rules for the participation of enterprises, research centres and universities in, and rules for the dissemination of results from research carried out under the Sixth Framework Programme of the European Community for, research, technological development and demonstration activities contributing to the creation of the European Research Area and to innovation (2002-2006) (hereinafter referred to as the ""Sixth Framework Programme""), with the exception of RTD activities executed by a joint undertaking or any other structure set up pursuant to Article 171 of the Treaty.","Diese Verordnung enthält die Regeln für die Beteiligung von Unternehmen, Forschungszentren und Hochschulen an der Durchführung des Sechsten Rahmenprogramms der Europäischen Gemeinschaft im Bereich der Forschung, technologischen Entwicklung und Demonstration als Beitrag zur Verwirklichung des Europäischen Forschungsraums und zur Innovation (2002-2006) (im Folgenden ""Sechstes Rahmenprogramm"" genannt) sowie für die Verbreitung der Forschungsergebnisse, mit Ausnahme der FTE-Tätigkeiten eines gemeinsamen Unternehmens oder einer anderen Struktur gemäß Artikel 171 des EG-Vertrags.",en-de,Administrative Law,"structure, treaty, regulation, joint, article, rules, set, exception"
state the aim of the programme taking into consideration the importance of the zoonosis or zoonotic agent concerned;,das Programmziel unter Berücksichtigung der Bedeutung der betreffenden Zoonose bzw. des betreffenden Zoonoseerregers nennen;,en-de,Contract Law,"taking, agent, consideration, state"
"instruments and working equipment such as cutting tables, tables with detachable cutting surfaces, containers, conveyor belts and saws of non-corrodible material not liable to taint meat and easy to clean and disinfect.","Einrichtungsgegenstände und Arbeitsgeräte, wie z.B. Tische, auswechselbare Schneideunterlagen, Behältnisse, Transportbänder und Sägen aus korrosionsfestem, die Qualität des frischen Fleisches nicht beeinträchtigendem, leicht zu reinigendem und zu desinfizierendem Material.",en-de,Legal Theory & Latin Terms,"material, conveyor, liable"
An alternative is to present a separate component of the financial statements which presents only items (a) to (c).,"Eine Alternative ist die Darstellung eines gesonderten Abschlussbestandteils, der nur die Posten (a) bis (c) ausweist.",en-de,Tax & Financial Regulation,
The appendices have been omitted in IAS 17 (revised) in the light of the additional indicators included therein to further clarify the lease classification process.,"Diese Anhänge wurden in der überarbeiteten Version des IAS 17 wegen der darin enthaltenen zusätzlichen Indikatoren, die den Klassifizierungsprozess eines Leasingverhältnisses weiter vereinfachen, gestrichen.",en-de,Constitutional Law,"process, lease"
no licence or special fishing permit is issued to vessels appearing in the IUU vessel list to fish in waters under their sovereignty or jurisdiction;,"Fischereifahrzeuge, die in der Liste der IUU-Schiffe aufgeführt sind, keine Lizenz oder spezielle Fangerlaubnis zur Fischerei in unter ihrer Hoheit oder Gerichtsbarkeit stehenden Gewässern erhalten;",en-de,Civil Procedure & Litigation,"sovereignty, jurisdiction, permit"
"instead of ""Solid food supplements/dietary integrators"" to read ""Food supplements as defined in Directive 2002/46/EC supplied in a solid form"";","""Nahrungsergänzungsmittel/Diätergänzungsstoffe in fester Form"" in ""Nahrungsergänzungsmittel im Sinne der Richtlinie 2002/46/EG in fester Form"";",en-de,Administrative Law,
the experience gained under existing national measures; and,die Erfahrungen mit den bestehenden nationalen Maßnahmen und,en-de,Administrative Law,
Family: Stichopodidae (Sea Cucumbers),Familie Stichopodidae (Seegurken),en-de,Family Law & Estates/Trusts,family
the signature of the keeper.,Unterschrift des Tierhalters.,en-de,Administrative Law,
THE PH MUST REMAIN BELOW 3 DURING EXTRACTION ;,Während der Extraktion muß der pH-Wert unter 3 liegen ;,en-de,Administrative Law,
This Directive shall not affect the possibility for the Member States to adopt or maintain more favourable provisions.,"Diese Richtlinie berührt nicht das Recht der Mitgliedstaaten, günstigere Regelungen zu treffen oder beizubehalten.",en-de,Administrative Law,"member, adopt"
"In any event, the level of measures should not exceed the value of the non-commercial advantage granted to the non-Community air carrier.","In jedem Fall sollte die Maßnahme in ihrer Höhe nicht den Wert des nichtkommerziellen Vorteils überschreiten, der dem gemeinschaftsfremden Luftfahrtunternehmen eingeräumt wird.",en-de,Legal Theory & Latin Terms,"carrier, value"
"1 LITRE , OR",1 LITER ODER,en-de,Administrative Law,
Regulation (EC) No 549/2004 of the European Parliament and of the Council of 10 March 2004 laying down the framework for the creation of the single European sky,Verordnung (EG) Nr. 549/2004 des Europäischen Parlaments und des Rates vom 10. März 2004 zur Festlegung des Rahmens für die Schaffung eines einheitlichen europäischen Luftraums,en-de,Administrative Law,regulation
"4 preventing the introduction of unauthorised weapons, incendiary devices or explosives to ships or port facilities;.","4 die Verhinderung des Anbordschaffens unerlaubter Waffen, Brandsätze oder Explosivstoffe auf Schiffe beziehungsweise des Einbringens dieser Gegenstände in Hafenanlagen;.",en-de,Administrative Law,
"Basic activities for the EDCTP Programme such as secretariat services and the management of information concerning clinical interventions against the three diseases (HIV/AIDS, malaria and tuberculosis).","Grundlegende Tätigkeiten für das EDCTP-Programm, wie Sekretariatsdienste und Informationsmanagement im Zusammenhang mit den klinischen Interventionen zur Bekämpfung der drei Krankheiten (HIV/AIDS, Malaria und Tuberkulose).",en-de,Healthcare Law,information
foods containing primary products for which a valid application is not submitted in accordance with Article 7 and Article 8(3) before 16 June 2005 and/or derived smoke flavourings:,"Lebensmittel, die Primärprodukte, für die kein gültiger Antrag gemäß Artikel 7 und Artikel 8 Absatz 3 vor dem 16. Juni 2005 eingereicht wurde, und/oder daraus hergestellte Raucharomen enthalten:",en-de,Legal Theory & Latin Terms,article
Proficiency testing,Eignungsprüfung,en-de,Administrative Law,
"In considering whether potential ordinary shares are dilutive or anti-dilutive, each issue or series of potential ordinary shares is considered separately rather than in aggregate.","Bei der Beurteilung, ob potenzielle Stammaktien verwässernd wirken oder der Verwässerung entgegenwirken, sind alle Emissionen oder Emissionsfolgen potenzieller Stammaktien statt als Summe getrennt zu betrachten.",en-de,Securities & Corporate Law,issue
This section specifies the transitional treatment for defined benefit plans.,Dieser Abschnitt regelt den Übergang auf diesen Standard im Fall von leistungsorientierten Plänen.,en-de,Healthcare Law,benefit
"Accreditation, designation, authorisation or licensing of tissue establishments and tissue and cell preparation processes","Zulassung, Benennung, Genehmigung oder Lizenzierung von Gewebeeinrichtungen und von Aufbereitungsverfahren für Gewebe und Zellen",en-de,Administrative Law,
"Moving towards European Integration"", and invited the Commission to consider taking appropriate measures to allow Stabilisation and Association Process countries to participate in tenders organised under the pre-accession (Phare, ISPA and Sapard) Community assistance programmes.","Auf dem Weg zur Europäischen Integration"" und forderte die Kommission auf, geeignete Maßnahmen in Erwägung zu ziehen, die es den am Stabilisierungs- und Assoziierungsprozess beteiligten Ländern erlauben, an Ausschreibungen im Rahmen der Heranführungsprogramme (Phare, Ispa und Sapard) der Gemeinschaft teilzunehmen.",en-de,Administrative Law,"process, association, participate, accession, taking, commission, integration"
The officials and other accompanying persons authorised by the Commission to conduct an inspection are empowered:,"Die mit den Nachprüfungen beauftragten Bediensteten der Kommission und die anderen von ihr ermächtigten Begleitpersonen sind befugt,",en-de,Tax & Financial Regulation,commission
The following are examples of situations where related party transactions may lead to disclosures by a reporting enterprise in the period which they affect:,"Im Folgenden werden Beispiele für Situationen genannt, in denen Geschäftsvorfälle mit nahe stehenden Unternehmen und Personen zu Angaben durch das berichtende Unternehmen in der Periode führen können, die sie betreffen:",en-de,Legal Theory & Latin Terms,party
"Accounting for an acquisition involves determination of the cost of the acquisition, allocation of the cost over the identifiable assets and liabilities of the enterprise being acquired and accounting for the resulting goodwill or negative goodwill, both at acquisition and subsequently.","Die Bilanzierung eines Unternehmenserwerbes umfasst im Einzelnen die Bestimmung der Anschaffungskosten des Unternehmenserwerbes, die Verteilung der Anschaffungskosten auf die identifizierbaren Vermögenswerte und Schulden des erworbenen Unternehmens sowie die Behandlung eines sich ergebenden Geschäfts- oder Firmenwertes oder negativen Unterschiedsbetrages zum Erwerbszeitpunkt und danach.",en-de,Securities & Corporate Law,"goodwill, acquisition, accounting"
THE TEST SHOULD PREFERABLY BE CARRIED OUT ON TRAYS CONSISTING OF FLAT GLASS PLATES FITTED WITH A PERFECTLY LEVEL ALUMINIUM OR PLASTIC RING 200 MM IN DIAMETER AND 20 MM HIGH .,"Der Test sollte vorzugsweise auf Platten durchgeführt werden, die aus einer Glasscheibe mit einem darauf gelegten plangedrehten Aluminiumoder Kunststoffring von 20 mm Höhe und 200 mm Durchmesser hergestellt werden.",en-de,Administrative Law,
"Categories M2, M3, N2 and N3 shall be understood to be those defined in Annex II to Directive 70/156/EEC(6).","Die Klassen M2, M3, N2 und N3 entsprechen den im Anhang II der Richtlinie 70/156/EWG(6) des Rates festgelegten Begriffsbestimmungen.",en-de,Administrative Law,
Great Britain(8),Großbritannien(8),en-de,Administrative Law,
"In order to ensure the ability to apply theoretical knowledge in practice, a test of which is included in the examination, a trainee must complete a minimum of three years' practical training in inter alia the auditing of annual accounts, consolidated accounts or similar financial statements.","Damit gewährleistet ist, daß die Fähigkeit zur praktischen Anwendung der in der Prüfung verlangten theoretischen Kenntnisse vorhanden ist, ist eine praktische Ausbildung von mindestens drei Jahren, die sich insbesondere auf die Prüfung des Jahresabschlusses, des konsolidierten Abschlusses oder ähnlicher Finanzabschlüsse erstrecken muß, durchzuführen.",en-de,Legal Theory & Latin Terms,"order, practice, examination"
"The EU partnership initiative ""Energy Initiative for poverty eradication and sustainable development"" launched on 1 September 2002 is based on better energy efficiency and the increased use of renewable energy sources, and several developing countries and regional organisations, as well as private sector and civil society organisations, have already associated themselves with this initiative, the principles and strategy of which are laid out in the ""Commission Communication on Energy cooperation with the developing countries"".","Die EU-Partnerschaftsinitiative ""Energieinitiative für die Bekämpfung der Armut und für nachhaltige Entwicklung"", die am 1. September 2002 eingeleitet wurde, gründet auf einer besseren Energieeffizienz und der stärkeren Verwendung erneuerbarer Energieträger; mehrere Entwicklungsländer und regionale Organisationen wie auch Organisationen des Privatsektors und der Zivilgesellschaft haben sich dieser Initiative bereits angeschlossen, deren Grundsätze und Strategie in der ""Mitteilung der Kommission über die Zusammenarbeit mit den Entwicklungsländern im Energiebereich"" dargelegt sind.",en-de,Administrative Law,"efficiency, use, partnership, energy, civil, commission"
Article 3 1.,Artikel 3,en-de,Legal Theory & Latin Terms,article
"Having regard to Council Directive 86/362/EEC of 24 July 1986 on the fixing of maximum levels for pesticide residues in and on cereals(1), as last amended by Commission Directive 2002/79/EC(2), and in particular Article 10 thereof,","gestützt auf die Richtlinie 86/362/EWG des Rates vom 24. Juli 1986 über die Festsetzung von Hoechstgehalten an Rückständen von Schädlingsbekämpfungsmitteln auf und in Getreide(1), zuletzt geändert durch die Richtlinie 2002/79/EG der Kommission(2), insbesondere auf Artikel 10,",en-de,Tax & Financial Regulation,"commission, article"
"Done at Brussels, 27 August 2002.","Brüssel, den 27. August 2002",en-de,Administrative Law,
"its natural range and areas it covers within that range are stable or increasing,","sein natürliches Verbreitungsgebiet sowie die Flächen, die er in diesem Gebiet einnimmt, beständig sind oder sich ausdehnen,",en-de,Administrative Law,
Error handling,Fehlerbehandlung,en-de,Administrative Law,error
The rate of aeration should be so regulated that the contents of vessel C are kept constantly in suspension and the dissolved oxygen content is at least 2 mg/l.,"Die Luftzufuhr ist so einzustellen, dass der Inhalt des Belüftungsgefässes C ständig in Suspension verbleibt und ein Mindestgehalt an gelöstem Sauerstoff von 2 mg/l aufrechterhalten wird.",en-de,Administrative Law,
COMMUNITY TARGETS,GEMEINSCHAFTSZIELE,en-de,Administrative Law,
"CRITERIA FOR NATIONAL ALLOCATION PLANS REFERRED TO IN ARTICLES 9, 22 AND 30","DEN ARTIKELN 9, 22 UND 30",en-de,Administrative Law,
fix the quantities available for the next tranche.,setzt die Kommission die für die nächste Tranche verfügbaren Mengen fest.,en-de,Administrative Law,
"Where a programme is found not to comply with the Community rules or the guidelines referred to in Annex III, the Commission shall inform the Member State(s) concerned, within 60 calendar days of receipt of the provisional list, that all or part of that programme is ineligible.","Stellt sich heraus, dass ein vorgelegtes Programm nicht mit den gemeinschaftlichen Rechtsvorschriften oder den Leitlinien gemäß Anhang III vereinbar ist, so teilt die Kommission innerhalb von sechzig Kalendertagen nach Eingang des vorläufigen Verzeichnisses dem bzw. den betreffenden Mitgliedstaaten mit, dass das betreffende Programm ganz oder teilweise nicht förderfähig ist.",en-de,Administrative Law,"state, member, rules, commission, receipt, calendar"
"These exercises should test communication, coordination, resource availability and response.","In diesen Übungen sollen der Nachrichtenverkehr, die Koordination, die Verfügbarkeit von Hilfsmitteln und die Reaktion überprüft werden.",en-de,Legal Theory & Latin Terms,response
"IAS 17 (revised) requires that the recognition of finance income should be based reflecting a constant periodic rate of return basing on one method, namely the lessor's net investment outstanding in respect of the finance lease.","IAS 17 (überarbeitet) verlangt, dass die Erfassung von Finanzerträgen als eine konstante periodische Verzinsung nach einer Methode zu erfolgen hat, nämlich auf der Basis der noch ausstehenden Nettoinvestition des Leasinggebers in Hinblick auf das Finanzierungsleasing.",en-de,Tax & Financial Regulation,"net, investment, income, lease, lessor"
country of origin;,Ursprungsland;,en-de,Administrative Law,
A farmer who gives an agri-environment commitment relating to one part of a farm shall adhere to at least the standard of usual good farming practice throughout the farm.,"Ein Landwirt, der für einen Teil seines landwirtschaftlichen Betriebs eine Agrarumweltverpflichtung eingeht, muss im gesamten Betrieb mindestens die Anforderungen der guten landwirtschaftlichen Praxis im üblichen Sinne erfuellen.",en-de,Immigration & Naturalization Law,"commitment, practice"
"the difference between this amount and the total payments is recognised as interest expense over the period of credit unless it is capitalised in accordance with the allowed alternative treatment in IAS 23, borrowing costs.","Die Differenz zwischen diesem Betrag und den gesamten Zahlungen ist der Zinsaufwand über den Kreditzeitraum, sofern sie nicht gemäß der alternativ zulässigen Methode des IAS 23, Fremdkapitalkosten, aktiviert wird.",en-de,Bankruptcy Law,"interest, costs, expense, credit"
Enforcement may be suspended only by a decision of the Court of Justice.,Die Zwangsvollstreckung kann nur durch eine Entscheidung des Gerichtshofs ausgesetzt werden.,en-de,Immigration & Naturalization Law,"court, decision, justice"
"A party who terminates the proceedings by surrendering the registered Community design or by not renewing its registration or by withdrawing the application for a declaration of invalidity or the appeal, shall bear the fees and the costs incurred by the other party as stipulated in paragraphs 1 and 2.","Der Beteiligte, der ein Verfahren dadurch beendet, dass er auf das eingetragene Gemeinschaftsgeschmacksmuster verzichtet oder dessen Eintragung nicht verlängert oder den Antrag auf Erklärung der Nichtigkeit oder die Beschwerde zurückzieht, trägt die Gebühren sowie die Kosten des anderen Beteiligten gemäß den Absätzen 1 und 2.",en-de,Appellate & Supreme Court,"costs, party, appeal, declaration"
regional organisations;,regionale Organisationen;,en-de,Administrative Law,
ICES division/NAFO sub-area and non-member country fishing zone (reference No in log-book : (22)),_ ICES / NAFO-GEBIET UND DRITTLAND-FISCHEREIZONE (LOGBUCH-BEZUGSNUMMER : (22)) :,en-de,Legal Theory & Latin Terms,member
The granting of authorisation shall not affect the civil or criminal liability of the manufacturer or of the holder of the marketing authorisation pursuant to the applicable national law in Member States.,Die Erteilung der Genehmigung lässt die zivilrechtliche Haftung oder strafrechtliche Verantwortung des Herstellers oder des Inhabers der Genehmigung für das Inverkehrbringen aufgrund des nationalen Rechts in den Mitgliedstaaten unberührt.,en-de,Administrative Law,"member, holder, law, civil, liability, criminal"
"The recording equipment shall self-detect faults through self tests and built-in-tests, according to the following table:","Mit Hilfe der Funktion ""Integrierte Tests und Selbsttests"" muss das Kontrollgerät zur automatischen Fehlererkennung anhand der folgenden Tabelle in der Lage sein:",en-de,Legal Theory & Latin Terms,recording
Himrod,Himrod,en-de,Administrative Law,
"""(d) it is accompanied by a health certificate that conforms to the model set out in Chapter 4(A) of Annex X""","""d) ihm liegt eine Veterinärbescheinigung bei, die dem Muster in Anhang X Kapitel 4 (A) entspricht.""",en-de,Healthcare Law,"health, set"
