legal_term,category
diminished capacity,Administrative Law
diminution in value,Legal Theory & Latin Terms
diplomat,International Law
diplomatic immunity,International Law
diplomatic law,Intellectual Property (IP)
direct and proximate cause,Legal Theory & Latin Terms
direct evidence,Evidence Law
direct examination,Civil Procedure & Litigation
direct infringement,Intellectual Property (IP)
direct inheritance,Family Law & Estates/Trusts
directed acyclic graph (DAG),Legal Theory & Latin Terms
directed trust,Family Law & Estates/Trusts
directed verdict,Civil Procedure & Litigation
directive to physicians,Healthcare Law
director,Securities & Corporate Law
disability,Legal Theory & Latin Terms
disability benefits,Legal Theory & Latin Terms
disability law,Legal Theory & Latin Terms
disallowance,Legal Theory & Latin Terms
disappearance,Legal Theory & Latin Terms
disbar,Legal Theory & Latin Terms
disbarment,Legal Theory & Latin Terms
discharge,Bankruptcy Law
discharge (of debts),Bankruptcy Law
discharge (of personal representative),Bankruptcy Law
discharge in bankruptcy,Bankruptcy Law
dischargeable debts,Bankruptcy Law
disclaim,Legal Theory & Latin Terms
disclaimer,Legal Theory & Latin Terms
disclaimer trust,Family Law & Estates/Trusts
disclosure,Legal Theory & Latin Terms
discount,Legal Theory & Latin Terms
discovery,Civil Procedure & Litigation
discretion,Appellate & Supreme Court
discretionary,Appellate & Supreme Court
discretionary power of appointment,Legal Theory & Latin Terms
discretionary trust,Family Law & Estates/Trusts
discrimination,Employment & Labor Law
disenfranchisement,Legal Theory & Latin Terms
disentail,Legal Theory & Latin Terms
disgorgement,Legal Theory & Latin Terms
dishonor,Legal Theory & Latin Terms
disincentive,Legal Theory & Latin Terms
disincentivize,Legal Theory & Latin Terms
disinherit,Legal Theory & Latin Terms
disinheritance,Family Law & Estates/Trusts
disinterested witness,Criminal Law & Procedure
disjunctive allegations,Legal Theory & Latin Terms
dismiss,Civil Procedure & Litigation
dismissal,Civil Procedure & Litigation
dismissal with prejudice,Civil Procedure & Litigation
dismissal without prejudice,Civil Procedure & Litigation
disorderly conduct,Legal Theory & Latin Terms
disorderly house,Legal Theory & Latin Terms
disparate impact,Legal Theory & Latin Terms
disparate treatment,Legal Theory & Latin Terms
disposable income,Tax & Financial Regulation
disposing mind and memory,Legal Theory & Latin Terms
disposition,Legal Theory & Latin Terms
dispositive fact,Legal Theory & Latin Terms
dispossess,Legal Theory & Latin Terms
disproportionate impact,Legal Theory & Latin Terms
dispute,Legal Theory & Latin Terms
dispute resolution,Legal Theory & Latin Terms
disregarding the corporate entity,Securities & Corporate Law
dissent,Legal Theory & Latin Terms
dissenting opinion,Legal Theory & Latin Terms
dissolution,Legal Theory & Latin Terms
dissolution of corporation,Securities & Corporate Law
dissolution of marriage,Family Law & Estates/Trusts
distinctive trademark,Intellectual Property (IP)
distinguish,Legal Theory & Latin Terms
distress,Torts
distribute,Legal Theory & Latin Terms
distributed ledger technology (DLT),Legal Theory & Latin Terms
distributee,Legal Theory & Latin Terms
distribution,Family Law & Estates/Trusts
distribution of profits,Legal Theory & Latin Terms
District Attorney (DA),Legal Theory & Latin Terms
district court,Civil Procedure & Litigation
disturbance of the peace,Legal Theory & Latin Terms
disturbing the peace,Legal Theory & Latin Terms
diversion,Legal Theory & Latin Terms
diversity jurisdiction,Civil Procedure & Litigation
diversity of citizenship,Intellectual Property (IP)
diversity visa program (the lottery),Immigration & Naturalization Law
divestitive fact,Legal Theory & Latin Terms
divestiture,Legal Theory & Latin Terms
divestment,Legal Theory & Latin Terms
dividend,Securities & Corporate Law
divorce,Family Law & Estates/Trusts
divorce agreement,Contract Law
DNA,Criminal Law & Procedure
Dobbs v. Jackson Women's Health Organization (2022),Healthcare Law
docket,Legal Theory & Latin Terms
doctor-patient privilege,Healthcare Law
doctrine,Legal Theory & Latin Terms
doctrine of alternative liability,Contract Law
doctrine of completeness,Legal Theory & Latin Terms
doctrine of discovery,Civil Procedure & Litigation
doctrine of equivalents,Legal Theory & Latin Terms
doctrine of incorporation by reference,Securities & Corporate Law
doctrine of integration of wills,Family Law & Estates/Trusts
doctrine of worthier title,Property & Real Estate Law
document,Immigration & Naturalization Law
documentary evidence,Evidence Law
Dodd-Frank Act,Legal Theory & Latin Terms
Dodd-Frank Act - Table of Contents,Legal Theory & Latin Terms
Dodd-Frank: Definitions,Legal Theory & Latin Terms
Dodd-Frank: Title I - Financial Stability,Property & Real Estate Law
Dodd-Frank: Title II - Orderly Liquidation Authority,Property & Real Estate Law
"Dodd-Frank: Title III - Transfer of Powers to the Comptroller of the Currency, the Corporation, and the Board of Governors",Property & Real Estate Law
Dodd-Frank: Title IV - Regulation of Advisers to Hedge Funds and Others,Property & Real Estate Law
Dodd-Frank: Title IX - Investor Protections and Improvements to the Regulation of Securities,Tax & Financial Regulation
Dodd-Frank: Title V - Insurance,Property & Real Estate Law
Dodd-Frank: Title VI - Improvements to Regulation of Bank and Savings Association Holding Companies and Depository Institutions,Property & Real Estate Law
Dodd-Frank: Title VII - Wall Street Transparency and Accountability,Property & Real Estate Law
"Dodd-Frank: Title VIII - Payment, Clearing, and Settlement Supervision",Property & Real Estate Law
Dodd-Frank: Title X - Bureau of Consumer Financial Protection,Property & Real Estate Law
Dodd-Frank: Title XI - Federal Reserve System Provisions,Property & Real Estate Law
Dodd-Frank: Title XII - Improving Access to Mainstream Financial Institutions,Property & Real Estate Law
Dodd-Frank: Title XIII - Pay It Back Act,Property & Real Estate Law
Dodd-Frank: Title XIV - Mortgage Reform and Anti-Predatory Lending Act,Property & Real Estate Law
Dodd-Frank: Title XV - Miscellaneous Provisions,Property & Real Estate Law
Dodd-Frank: Title XVI - Section 1256 Contracts,Contract Law
dog-bite statute,Legal Theory & Latin Terms
doing business,Legal Theory & Latin Terms
doing business as (DBA),Legal Theory & Latin Terms
DOJ,Legal Theory & Latin Terms
DOMA,Intellectual Property (IP)
domain name,Intellectual Property (IP)
domestic corporation,Securities & Corporate Law
domestic partner adoption,Family Law & Estates/Trusts
domestic partners,Family Law & Estates/Trusts
domestic relations,Legal Theory & Latin Terms
domestic violence,Legal Theory & Latin Terms
domicile,Legal Theory & Latin Terms
dominant estate,Family Law & Estates/Trusts
dominant tenement,Legal Theory & Latin Terms
"Don't Ask, Don't Tell",Legal Theory & Latin Terms
donation,Legal Theory & Latin Terms
donative intent,Legal Theory & Latin Terms
donee,Legal Theory & Latin Terms
donee beneficiary,Family Law & Estates/Trusts
donor,Legal Theory & Latin Terms
dooced,Legal Theory & Latin Terms
Dormant Commerce Clause,Constitutional Law
double jeopardy,Criminal Law & Procedure
double taxation,Tax & Financial Regulation
double wills,Family Law & Estates/Trusts
double-entry accounting,Legal Theory & Latin Terms
doubling,Legal Theory & Latin Terms
dower,Legal Theory & Latin Terms
dower and curtesy,Legal Theory & Latin Terms
down payment,Legal Theory & Latin Terms
dowry,Legal Theory & Latin Terms
draft,Legal Theory & Latin Terms
dram shop rule,Administrative Law
draw,Legal Theory & Latin Terms
drawee,Legal Theory & Latin Terms
drawer,Legal Theory & Latin Terms
Dred Scott v. Sandford (1857),Legal Theory & Latin Terms
driving under the influence (DUI),Legal Theory & Latin Terms
driving while Black,Legal Theory & Latin Terms
driving while intoxicated,Legal Theory & Latin Terms
driving while intoxicated (DWI),Legal Theory & Latin Terms
drop dead date,Legal Theory & Latin Terms
drug,Legal Theory & Latin Terms
Drug Enforcement Administration (DEA),Legal Theory & Latin Terms
drug scheduling,Legal Theory & Latin Terms
drug trafficking,Legal Theory & Latin Terms
drunk driving,Legal Theory & Latin Terms
dual national,Legal Theory & Latin Terms
dual use item,Legal Theory & Latin Terms
due,Constitutional Law
due and owing,Legal Theory & Latin Terms
due care,Legal Theory & Latin Terms
due diligence,Legal Theory & Latin Terms
due diligence defense,Legal Theory & Latin Terms
due process,Constitutional Law
due process of law,Constitutional Law
"due, owing, and unpaid",Legal Theory & Latin Terms
due-on-sale clause,Legal Theory & Latin Terms
DUI,Legal Theory & Latin Terms
dump-buyback,Legal Theory & Latin Terms
durable power of attorney,Legal Theory & Latin Terms
durable power of attorney for finances,Legal Theory & Latin Terms
durable power of attorney for health care,Healthcare Law
duress,Contract Law
Durham test,Legal Theory & Latin Terms
duty,Torts
duty of care,Torts
duty of good faith,Contract Law
duty of loyalty,Legal Theory & Latin Terms
duty to mitigate,Legal Theory & Latin Terms
duty to repair,Environmental Law
duty to retreat,Legal Theory & Latin Terms
DWI,Legal Theory & Latin Terms
DWI/DUI Violation,Legal Theory & Latin Terms
dying declaration,Legal Theory & Latin Terms
dynamite charge,Legal Theory & Latin Terms
dynasty trust,Family Law & Estates/Trusts
e-discovery,Civil Procedure & Litigation
e.g.,Legal Theory & Latin Terms
"e.g.,",Legal Theory & Latin Terms
EA,Property & Real Estate Law
earmark,Legal Theory & Latin Terms
earned income,Tax & Financial Regulation
earned surplus,Legal Theory & Latin Terms
earnest payment,Legal Theory & Latin Terms
earnings record,Legal Theory & Latin Terms
earwitness,Criminal Law & Procedure
easement,Property & Real Estate Law
easement by prescription,Property & Real Estate Law
eavesdropping,Legal Theory & Latin Terms
ecclesiastical law,Legal Theory & Latin Terms
economic duress,Contract Law
economic efficiency,Legal Theory & Latin Terms
economic espionage,Legal Theory & Latin Terms
"Economic Growth, Regulatory Relief, and Consumer Protection Act",Administrative Law
Economic Stimulus Act of 2008,Legal Theory & Latin Terms
economic torts,Torts
Edmunds Anti-Polygamy Act of 1882,Legal Theory & Latin Terms
education,Legal Theory & Latin Terms
EEOC,Employment & Labor Law
effective assistance of counsel,Legal Theory & Latin Terms
effective date,Legal Theory & Latin Terms
efficiency,Legal Theory & Latin Terms
efficient breach,Contract Law
efficient breach theory,Contract Law
effluxion of time,Legal Theory & Latin Terms
Egelhoff v. Egelhoff (2001),Legal Theory & Latin Terms
eggshell skull,Legal Theory & Latin Terms
eggshell skull rule,Administrative Law
egregious,Legal Theory & Latin Terms
egress,Legal Theory & Latin Terms
EIR,Family Law & Estates/Trusts
ejectment,Legal Theory & Latin Terms
ejusdem generis,Legal Theory & Latin Terms
elder law,Legal Theory & Latin Terms
election of remedies,Legal Theory & Latin Terms
election under the will,Family Law & Estates/Trusts
electioneering,Legal Theory & Latin Terms
elections,Legal Theory & Latin Terms
elective share,Legal Theory & Latin Terms
Electronic Funds Transfer Act,Legal Theory & Latin Terms
electronic signature,Legal Theory & Latin Terms
electronic surveillance,Legal Theory & Latin Terms
eleemosynary,Legal Theory & Latin Terms
element,Legal Theory & Latin Terms
elements (of a case),Legal Theory & Latin Terms
elements (of a crime),Criminal Law & Procedure
emancipated minor,Intellectual Property (IP)
emancipation,Family Law & Estates/Trusts
emancipation of minors,Intellectual Property (IP)
embalming,Legal Theory & Latin Terms
embassy,Legal Theory & Latin Terms
embezzlement,Criminal Law & Procedure
embezzler,Legal Theory & Latin Terms
emblements,Legal Theory & Latin Terms
emergency,Legal Theory & Latin Terms
emergency doctrine,Legal Theory & Latin Terms
emergency powers,Legal Theory & Latin Terms
emergency protective order,Legal Theory & Latin Terms
emerging growth company (EGC),Legal Theory & Latin Terms
eminent domain,Legal Theory & Latin Terms
emolument,Legal Theory & Latin Terms
emotional distress,Torts
empirical legal studies,Legal Theory & Latin Terms
employee,Employment & Labor Law
Employee Retirement Income Security Act (ERISA),Tax & Financial Regulation
employer,Employment & Labor Law
Employer Identification Number (EIN),Employment & Labor Law
employment,Employment & Labor Law
Employment Authorization Document (EAD),Intellectual Property (IP)
employment discrimination,Employment & Labor Law
employment-at-will doctrine,Employment & Labor Law
en banc,Legal Theory & Latin Terms
enabling clause,Legal Theory & Latin Terms
enabling clauses,Legal Theory & Latin Terms
enclosure (inclosure),Legal Theory & Latin Terms
encroach,Legal Theory & Latin Terms
encroachment,Legal Theory & Latin Terms
encumber,Legal Theory & Latin Terms
encumbrance,Property & Real Estate Law
Endangered Species Act (ESA),Environmental Law
endorse,Legal Theory & Latin Terms
endorsement,Legal Theory & Latin Terms
endorsement (indorsement),Legal Theory & Latin Terms
endowment,Legal Theory & Latin Terms
endowment insurance,Legal Theory & Latin Terms
enemy combatant,Legal Theory & Latin Terms
energy,Legal Theory & Latin Terms
Energy Independence and Security Act of 2007,Tax & Financial Regulation
enforced sterilization,Legal Theory & Latin Terms
enforcement power,Legal Theory & Latin Terms
Engel v. Vitale (1962),Legal Theory & Latin Terms
English-only rule,Administrative Law
enhanced scrutiny test,Legal Theory & Latin Terms
enjoin,Legal Theory & Latin Terms
enjoyment,Legal Theory & Latin Terms
Enoch Arden Doctrine,Legal Theory & Latin Terms
enrolled agent (EA),Legal Theory & Latin Terms
enter a judgment,Civil Procedure & Litigation
entity,Legal Theory & Latin Terms
entity liability,Contract Law
entity list,Legal Theory & Latin Terms
entrapment,Legal Theory & Latin Terms
entry,Legal Theory & Latin Terms
entry of judgment,Civil Procedure & Litigation
enumerated powers,Legal Theory & Latin Terms
environmental impact report (EIR),Environmental Law
environmental law,Environmental Law
environmental law violations,Environmental Law
"environmental, social, and governance (ESG)",Environmental Law
Equal Employment Opportunity Commission,Employment & Labor Law
Equal Employment Opportunity Commission (EEOC),Employment & Labor Law
Equal Pay Act,Legal Theory & Latin Terms
equal protection,Constitutional Law
Equal Rights Amendment,Constitutional Law
equal-opportunity employer,Employment & Labor Law
equitable,Property & Real Estate Law
equitable distribution,Family Law & Estates/Trusts
equitable estoppel,Legal Theory & Latin Terms
equitable lien,Contract Law
equitable ownership,Intellectual Property (IP)
equitable parent doctrine,Legal Theory & Latin Terms
equitable relief,Legal Theory & Latin Terms
equitable subordination,Legal Theory & Latin Terms
equity,Legal Theory & Latin Terms
equity of redemption,Legal Theory & Latin Terms
equivalent,Legal Theory & Latin Terms
ergo,Legal Theory & Latin Terms
Erie doctrine,Legal Theory & Latin Terms
ERISA,Legal Theory & Latin Terms
erroneous,Legal Theory & Latin Terms
error,Civil Procedure & Litigation
errors and omissions,Legal Theory & Latin Terms
escalator clause,Legal Theory & Latin Terms
escape clause,Legal Theory & Latin Terms
escheat,Legal Theory & Latin Terms
escrow,Property & Real Estate Law
escrow agent,Property & Real Estate Law
escrow agreement,Contract Law
escrow instructions,Property & Real Estate Law
ESI,Intellectual Property (IP)
espionage,Legal Theory & Latin Terms
espousal,Family Law & Estates/Trusts
esquire,Legal Theory & Latin Terms
essential job functions,Legal Theory & Latin Terms
Establishment Clause,Constitutional Law
estate,Family Law & Estates/Trusts
estate by entirety,Family Law & Estates/Trusts
estate planning,Family Law & Estates/Trusts
estate tax,Tax & Financial Regulation
estate tax threshold,Tax & Financial Regulation
estates and trusts,Family Law & Estates/Trusts
estimated taxes,Tax & Financial Regulation
estop,Legal Theory & Latin Terms
estoppel,Legal Theory & Latin Terms
estoppel by deed,Property & Real Estate Law
estoppel by silence,Legal Theory & Latin Terms
estoppel in pais,Legal Theory & Latin Terms
et al.,Legal Theory & Latin Terms
et seq.,Legal Theory & Latin Terms
et ux.,Legal Theory & Latin Terms
et uxor,Legal Theory & Latin Terms
ethical will,Family Law & Estates/Trusts
ethics,Legal Theory & Latin Terms
ethnic persecution,Tax & Financial Regulation
euthanasia,Legal Theory & Latin Terms
evaluation agreement,Contract Law
evaluative fact,Legal Theory & Latin Terms
evasion of tax,Tax & Financial Regulation
eviction,Legal Theory & Latin Terms
evidence,Evidence Law
evidentiary,Legal Theory & Latin Terms
evidentiary fact,Legal Theory & Latin Terms
ex contractu,Contract Law
ex delicto,Legal Theory & Latin Terms
ex officio,Legal Theory & Latin Terms
ex parte,Legal Theory & Latin Terms
ex parte divorce,Family Law & Estates/Trusts
ex post facto,Legal Theory & Latin Terms
ex rel.,Legal Theory & Latin Terms
examination,Civil Procedure & Litigation
examination report,Civil Procedure & Litigation
exception,Legal Theory & Latin Terms
exception in deed,Property & Real Estate Law
exceptional case,Legal Theory & Latin Terms
excessive bail,Criminal Law & Procedure
excessive verdict,Civil Procedure & Litigation
exchange,Tax & Financial Regulation
excise,Tax & Financial Regulation
excise tax,Tax & Financial Regulation
excited utterance,Legal Theory & Latin Terms
exclusionary rule,Administrative Law
exclusive dealing arrangement,Legal Theory & Latin Terms
exclusive license,Intellectual Property (IP)
exculpatory,Legal Theory & Latin Terms
exculpatory clause,Legal Theory & Latin Terms
exculpatory evidence,Evidence Law
excusable neglect,Legal Theory & Latin Terms
excuse,Legal Theory & Latin Terms
execute,Legal Theory & Latin Terms
executed remainder,Property & Real Estate Law
execution,Criminal Law & Procedure
executive clemency,Legal Theory & Latin Terms
executive order,Administrative Law
executive power,Legal Theory & Latin Terms
executive privilege,Constitutional Law
executor,Family Law & Estates/Trusts
executory,Family Law & Estates/Trusts
executory interest,Family Law & Estates/Trusts
executory remainder,Property & Real Estate Law
executrix,Legal Theory & Latin Terms
exemplary damages,Contract Law
exempt employee,Employment & Labor Law
exempt offering,Contract Law
exempt property,Property & Real Estate Law
exemption,Bankruptcy Law
exemption trust,Family Law & Estates/Trusts
exhaustion,Administrative Law
exhaustion of administrative remedies,Administrative Law
exhibit,Legal Theory & Latin Terms
exigent circumstances,Legal Theory & Latin Terms
exonerative fact,Legal Theory & Latin Terms
expectancy,Legal Theory & Latin Terms
expectation damages,Contract Law
expectation of privacy,Legal Theory & Latin Terms
expense,Legal Theory & Latin Terms
expenses of administration,Legal Theory & Latin Terms
expert testimony,Evidence Law
expert witness,Evidence Law
expert witness disclosure,Criminal Law & Procedure
expert witness reports,Criminal Law & Procedure
Export Control Classification Number (ECCN),Legal Theory & Latin Terms
export license,Intellectual Property (IP)
express,Legal Theory & Latin Terms
express authority,Intellectual Property (IP)
express contract,Contract Law
express notice,Immigration & Naturalization Law
express trust,Family Law & Estates/Trusts
express warranty,Contract Law
expropriation,Legal Theory & Latin Terms
expunge,Legal Theory & Latin Terms
extended warranty contracts,Contract Law
extension,Legal Theory & Latin Terms
extenuating circumstances,Legal Theory & Latin Terms
extermination,Contract Law
extinguishment,Legal Theory & Latin Terms
extortion,Criminal Law & Procedure
extradite,Legal Theory & Latin Terms
extradition,International Law
extrajudicial,Legal Theory & Latin Terms
extraordinary compensation,Legal Theory & Latin Terms
extraordinary fees,Legal Theory & Latin Terms
extreme cruelty,Legal Theory & Latin Terms
Extreme Risk Protection Order (ERPO),Legal Theory & Latin Terms
extrinsic evidence,Evidence Law
extrinsic fraud,Criminal Law & Procedure
eyewitness,Criminal Law & Procedure
face amount,Legal Theory & Latin Terms
face value,Legal Theory & Latin Terms
fact,Legal Theory & Latin Terms
fact finder,Legal Theory & Latin Terms
fact pleading,Criminal Law & Procedure
factor,Legal Theory & Latin Terms
factor's lien,Contract Law
factoring,Legal Theory & Latin Terms
failure of consideration,Contract Law
failure of issue,Legal Theory & Latin Terms
failure to state a claim,Legal Theory & Latin Terms
fair comment,Legal Theory & Latin Terms
Fair Credit Billing Act (FCBA),Legal Theory & Latin Terms
Fair Credit Reporting Act (FCRA),Legal Theory & Latin Terms
Fair Debt Collection Practices Act,Immigration & Naturalization Law
Fair Debt Collection Practices Act (FDCPA),Immigration & Naturalization Law
Fair Housing Act & Fair Housing Amendments Act,Constitutional Law
Fair Labor Standards Act,Employment & Labor Law
Fair Labor Standards Act (FLSA),Employment & Labor Law
fair market value,Tax & Financial Regulation
Fair Minimum Wage Act of 2007,Employment & Labor Law
fair trade laws,Legal Theory & Latin Terms
fair use,Intellectual Property (IP)
false advertising,Legal Theory & Latin Terms
false arrest,Criminal Law & Procedure
False Claims Act,Legal Theory & Latin Terms
false imprisonment,Torts
false light,Torts
false pretenses,Legal Theory & Latin Terms
family,Family Law & Estates/Trusts
family allowance,Legal Theory & Latin Terms
Family and Medical Leave Act (1993),Healthcare Law
Family and Medical Leave Act (FMLA),Healthcare Law
family court,Civil Procedure & Litigation
family law,Family Law & Estates/Trusts
family limited partnership,Intellectual Property (IP)
family pot trust,Family Law & Estates/Trusts
family purpose doctrine,Legal Theory & Latin Terms
Family Smoking Prevention and Tobacco Control Act of 2009,Legal Theory & Latin Terms
FAPE,Legal Theory & Latin Terms
FAQ,Legal Theory & Latin Terms
fault divorce,Family Law & Estates/Trusts
FCBA,Legal Theory & Latin Terms
FCRA,Legal Theory & Latin Terms
FDCPA,Legal Theory & Latin Terms
FDIC,Legal Theory & Latin Terms
federal,Administrative Law
federal acquisition regulation,Tax & Financial Regulation
Federal Arbitration Act,Employment & Labor Law
federal benefit rate,Legal Theory & Latin Terms
Federal Bureau of Investigation (FBI),Legal Theory & Latin Terms
Federal Bureau of Prisons (BOP),Legal Theory & Latin Terms
Federal Communications Commission,Legal Theory & Latin Terms
federal court,Civil Procedure & Litigation
federal courts,Civil Procedure & Litigation
Federal Deposit Insurance Corporation (FDIC),Securities & Corporate Law
federal gift tax,Tax & Financial Regulation
federal judiciary,Legal Theory & Latin Terms
Federal Land Policy and Management Act,Property & Real Estate Law
federal question,Legal Theory & Latin Terms
federal question jurisdiction,Civil Procedure & Litigation
Federal Register,Administrative Law
Federal Rules of Evidence,Administrative Law
Federal Sentencing Guidelines,Criminal Law & Procedure
federal tax deposits (FTD),Tax & Financial Regulation
federal tax law,Tax & Financial Regulation
Federal Tort Claims Act,Torts
Federal Trade Commission,Legal Theory & Latin Terms
Federal Trade Commission (FTC),Legal Theory & Latin Terms
Federal Trade Commission (FTC) Funeral Rule,Administrative Law
Federal Unemployment Tax Act (FUTA),Tax & Financial Regulation
Federal-Aid Highway Act of 1956,Legal Theory & Latin Terms
federalism,Legal Theory & Latin Terms
fee,Property & Real Estate Law
fee simple,Property & Real Estate Law
fee simple absolute,Property & Real Estate Law
fee simple determinable,Property & Real Estate Law
fee simple subject to a condition subsequent,Contract Law
fee simple subject to an executory limitation,Property & Real Estate Law
fee tail,Property & Real Estate Law
felon,Criminal Law & Procedure
felon in possession,Legal Theory & Latin Terms
felonious,Legal Theory & Latin Terms
felony,Criminal Law & Procedure
felony murder doctrine,Criminal Law & Procedure
felony murder rule,Criminal Law & Procedure
feminist jurisprudence,Legal Theory & Latin Terms
ferae naturae,Legal Theory & Latin Terms
Feres doctrine,Legal Theory & Latin Terms
fertile-octogenarian rule,Administrative Law
FICA Tax,Tax & Financial Regulation
FICO,Legal Theory & Latin Terms
fictitious business name,Legal Theory & Latin Terms
fictitious defendants,Criminal Law & Procedure
fictitious name,Legal Theory & Latin Terms
fiduciary,Securities & Corporate Law
fiduciary duties of trustees,Family Law & Estates/Trusts
fiduciary duty,Securities & Corporate Law
fiduciary relationship,Intellectual Property (IP)
field sobriety test,Legal Theory & Latin Terms
fieri facias,Legal Theory & Latin Terms
FIFO,Legal Theory & Latin Terms
FIFO accounting,Legal Theory & Latin Terms
Fifth Amendment,Constitutional Law
fighting words,Legal Theory & Latin Terms
file,Legal Theory & Latin Terms
filiation proceeding,Legal Theory & Latin Terms
filibuster,Legal Theory & Latin Terms
filing fee,Civil Procedure & Litigation
final beneficiary,Family Law & Estates/Trusts
final decree,Legal Theory & Latin Terms
final judgment,Civil Procedure & Litigation
final settlement,Legal Theory & Latin Terms
financial guardian,Tax & Financial Regulation
Financial Industry Regulatory Authority (FINRA),Intellectual Property (IP)
financial institution,Tax & Financial Regulation
financial institution fraud,Criminal Law & Procedure
financial instrument,Tax & Financial Regulation
financial statements,Tax & Financial Regulation
finder's fee,Legal Theory & Latin Terms
finding,Legal Theory & Latin Terms
finding of fact,Legal Theory & Latin Terms
fine,Legal Theory & Latin Terms
fire insurance,Legal Theory & Latin Terms
firearms,Legal Theory & Latin Terms
firm offer,Contract Law
First Amendment,Constitutional Law
first impression,Tax & Financial Regulation
first in time,Tax & Financial Regulation
first-degree murder,Criminal Law & Procedure
fisc,Legal Theory & Latin Terms
fiscal sponsor,Legal Theory & Latin Terms
fiscal year accounting period,Legal Theory & Latin Terms
fishing expedition,Legal Theory & Latin Terms
fitness,Legal Theory & Latin Terms
fixed annuity,Legal Theory & Latin Terms
fixed asset,Legal Theory & Latin Terms
fixed in a tangible medium of expression,Legal Theory & Latin Terms
fixed rate mortgage,Property & Real Estate Law
fixed surveillance,Legal Theory & Latin Terms
fixed trust,Family Law & Estates/Trusts
fixture,Property & Real Estate Law
flexible spending account (FSA),Legal Theory & Latin Terms
flight,Legal Theory & Latin Terms
flipping,Intellectual Property (IP)
floating easement,Property & Real Estate Law
floating lien,Contract Law
FMLA,Legal Theory & Latin Terms
FOB,Legal Theory & Latin Terms
follow-on offering,Contract Law
food and drug law,Legal Theory & Latin Terms
food stamps,Legal Theory & Latin Terms
for sale by owner,Legal Theory & Latin Terms
for value received,Legal Theory & Latin Terms
forbearance,Legal Theory & Latin Terms
force majeure,Legal Theory & Latin Terms
forced labor,Employment & Labor Law
forced pregnancy,Legal Theory & Latin Terms
forced sale,Legal Theory & Latin Terms
forced share,Legal Theory & Latin Terms
forcible entry,Legal Theory & Latin Terms
forcible transfer,Legal Theory & Latin Terms
forecasting,Legal Theory & Latin Terms
foreclosure,Legal Theory & Latin Terms
foreclosure sale,Legal Theory & Latin Terms
foreign corporation,Securities & Corporate Law
Foreign Corrupt Practices Act (FCPA),International Law
foreign direct investment,International Law
foreign divorce,Family Law & Estates/Trusts
foreign national,International Law
foreign relations,International Law
forensic,Legal Theory & Latin Terms
forensic animation,Legal Theory & Latin Terms
forensic medicine,Legal Theory & Latin Terms
forensic testimony,Evidence Law
forensics,Legal Theory & Latin Terms
foreseeability,Legal Theory & Latin Terms
foreseeable risk,Legal Theory & Latin Terms
forfeit,Legal Theory & Latin Terms
forfeiture,Legal Theory & Latin Terms
forfeiture by wrongdoing,Legal Theory & Latin Terms
forger,Legal Theory & Latin Terms
forgery,Legal Theory & Latin Terms
Form 10-K,Legal Theory & Latin Terms
Form 10-Q,Legal Theory & Latin Terms
Form 8-K,Legal Theory & Latin Terms
form interrogatories,Legal Theory & Latin Terms
Form S-1,Legal Theory & Latin Terms
Form S-3,Legal Theory & Latin Terms
Form S-4,Legal Theory & Latin Terms
Form S-8,Legal Theory & Latin Terms
formal adjudication,Administrative Law
formal rulemaking,Administrative Law
former testimony exception,Evidence Law
formula AB trust,Family Law & Estates/Trusts
fornication,Legal Theory & Latin Terms
forthwith,Legal Theory & Latin Terms
forum,Legal Theory & Latin Terms
forum non conveniens,Legal Theory & Latin Terms
forum shopping,Legal Theory & Latin Terms
forums,Legal Theory & Latin Terms
foster care,Legal Theory & Latin Terms
foster child,Family Law & Estates/Trusts
foster parent,Legal Theory & Latin Terms
foundation,Evidence Law
four corners of an instrument,Legal Theory & Latin Terms
Fourteenth Amendment,Constitutional Law
Fourth Amendment,Constitutional Law
framing,Legal Theory & Latin Terms
franchise,Legal Theory & Latin Terms
franchise agreement,Contract Law
franchise tax,Tax & Financial Regulation
franchisee,Legal Theory & Latin Terms
franchiser,Legal Theory & Latin Terms
frank,Legal Theory & Latin Terms
fraternal benefit society benefits,Legal Theory & Latin Terms
fraud,Contract Law
fraud in the inducement,Criminal Law & Procedure
fraud-on-the-market theory,Criminal Law & Procedure
fraudulent concealment,Criminal Law & Procedure
fraudulent conveyance,Bankruptcy Law
fraudulent misrepresentation,Contract Law
fraudulent transfer,Criminal Law & Procedure
Fraudulent Transfer Act,Criminal Law & Procedure
free and clear,Legal Theory & Latin Terms
free appropriate public education,Legal Theory & Latin Terms
Free Exercise Clause,Constitutional Law
free on board (FOB),Legal Theory & Latin Terms
free rider,Legal Theory & Latin Terms
free trade,Legal Theory & Latin Terms
free writing prospectus,Securities & Corporate Law
freedom of contract,Constitutional Law
freedom of disposition,Constitutional Law
freedom of expression,Constitutional Law
Freedom of Information Act (FOIA),Constitutional Law
freedom of speech,Constitutional Law
freedom of the press,Constitutional Law
freehold,Legal Theory & Latin Terms
freehold estate,Family Law & Estates/Trusts
freelancer,Legal Theory & Latin Terms
freeze-out,Legal Theory & Latin Terms
freeze-out provision,Legal Theory & Latin Terms
fresh pursuit,Legal Theory & Latin Terms
friendly suit,Legal Theory & Latin Terms
friendly witness,Criminal Law & Procedure
