legal_term,legal_category,defination,root_word
ex parte,Legal Theory & Latin Terms,"Ex parte means “from one party” in Latin. In law, the term is used in multiple contexts, particularly in legal ethics and civil procedure.",ex parte
ex parte divorce,Family Law & Estates/Trusts,"An ex parte divorce is a divorce that is granted within a jurisdiction where only one of the spouses is validly domiciled . It is valid even if one spouse never resided within the jurisdiction where the divorce was granted or subject to personal jurisdiction . The spouse that files for an ex parte divorce must first satisfy certain residency requirements. Although the laws governing divorce differ slightly from state to state, generally speaking, the spouse must have resided in the state or county where the spouse intends to file for a certain amount of time.",ex parte divorce
ex post facto,Legal Theory & Latin Terms,"The Latin phrase ex post facto means “from a thing done afterward.” In law, it refers to a criminal statute that retroactively punishes conduct that was legal at the time it was committed. The United States Constitution expressly prohibits such laws under:",ex post facto
ex rel.,Legal Theory & Latin Terms,"The abbreviation ex rel. stands for the Latin phrase ex relatione . Ex relatione is a procedural phrase in the Bluebook , meaning ""on the relation of"", “out of the relation of”, or “on behalf of.”  This is a phrase showing that the plaintiff is suing based on information from another person. In the case caption, the party named after "" ex rel ."" is the party on whose information the suit is brought, this party is called the relator .  Many government lawsuits based on whistleblowers ' information are brought as suits ex rel .",ex rel.
examination,Civil Procedure & Litigation,"Examination refers to an interrogation, inspection, a questioning, or a search. During court trials, examination refers to an interrogation of a witness to determine the testimony of their statement. There are 3 types of examination:",examination
examination report,Civil Procedure & Litigation,"An examination report is a formal written report that summarizes the findings and conclusions of an examination conducted by a regulatory, administrative, or investigative authority. Examination reports are used in multiple legal and regulatory contexts to document the results of an official review, audit , inspection, or evaluation.",examination report
exception,Legal Theory & Latin Terms,"Exception is a thing, concept, or person that does not follow the rule, or is excluded from the general statement/condition. Some common uses of the term “exception” in a legal sense include:",exception
exception in deed,Property & Real Estate Law,"Exception in deed is a reservation of a property interest in the deed for the transferor. The transferor is explicitly keeping some part of the property being given to the transferee such as an easement or a life estate . For example, a property owner could sell a lot next to their house with the exception of an easement allowing them to use the driveway on the lot after the sale to access a highway.",exception in deed
exceptional case,Legal Theory & Latin Terms,"Exceptional case refers to standout and extreme cases in which a law , rule, or standard does not apply, or a new rule or standard does apply. For example, a sales contract may stipulate that product liability remains with the seller except for exceptional cases. The term exceptional case is broad and can include many unpredictable scenarios that would be an exception to the contract stipulation, like if the buyer intentionally breaks the product. Another example can be seen by the Supreme Court case , Octane Fitness, LLC v. ICON , 572 U.S. 545 (2014) . In Octane , the Court defined exceptional cases with regard to attorney’s fees in patent cases as “simply one that stands out from others with respect to the substantive strength of a party’s litigating position (considering both the governing law and the facts of the case) or the unreasonable manner in which the case was litigated.” Exceptional cases can have different meanings based on the context, but universally refer to cases that differ from the norm, and therefore must be treated uniquely.",exceptional case
excessive bail,Criminal Law & Procedure,"Excessive bail is an amount of bail ordered to be posted by an accused defendant which is much more than necessary or usual to ensure they will make court appearances particularly in relation to minor crimes . Moreover, under the Eighth Amendment of the United States Constitution , excessive bail is bail set at a figure higher than an amount reasonably calculated to fulfill or achieve its purpose.",excessive bail
excessive verdict,Civil Procedure & Litigation,"An excessive verdict is a verdict that shocks the conscience of the court because it appears to stem from factors extraneous the judicial proceedings . For instance, the jury may have been prejudiced against the defendant or overly swayed by emotionally draining evidence . Most verdicts are deemed excessive because the money damages awarded far exceed the compensation given in similar cases ; the typical result is a judge-ordered decrease of the award .",excessive verdict
exchange,Tax & Financial Regulation,Exchange refers both to the action of transferring goods and chattels for other goods and chattels of like value and to the transfer itself.,exchange
excise,Tax & Financial Regulation,Excise is defined as an indirect ad valorem tax imposed on goods produced or sold within a country.,excise
excise tax,Tax & Financial Regulation,"Excise Tax is a tax on a specific item, belonging to a special class of items. The classes of items are frequently specialty or luxury items, such as tobacco, fuel, and alcohol. Such taxes may be imposed on the manufacturer, retailer, or consumer, depending on the specific tax. Some excise taxes, such as property taxes and excise tax penalties on certain retirement account activity, can be levied directly from the customer.",excise tax
excited utterance,Legal Theory & Latin Terms,"Excited utterance, under the Federal Rules of Evidence , is defined as a statement that concerns a startling event, made by the declarant when the declarant is still under stress from the startling event. Excited utterance is an exception to the hearsay rule.",excited utterance
exclusionary rule,Administrative Law,"The exclusionary rule prevents the government from using most evidence gathered in violation of the United States Constitution .  The decision in Mapp v. Ohio established that the exclusionary rule applies to evidence gained from an unreasonable search or seizure in violation of the Fourth Amendment . The decision in Miranda v. Arizona established that the exclusionary rule applies to improperly elicited self-incriminatory statements gathered in violation of the Fifth Amendment , and to evidence gained in situations where the government violated the defendant's Sixth Amendment right to counsel .  However, the rule does not apply in civil cases , including deportation hearings . See INS v. Lopez-Mendoza .",exclusionary rule
exclusive dealing arrangement,Legal Theory & Latin Terms,"Exclusive dealing arrangements are contracts in which a seller agrees to sell all or a substantial portion of their products or services to a particular buyer, or when a buyer similarly agrees to purchase all or a portion of their requirements of a product or service from a particular seller. Because exclusive dealing arrangements restrict trade, they are subject to antitrust liability under the Sherman Act or the Clayton Act .",exclusive dealing arrangement
exclusive license,Intellectual Property (IP),"Exclusive license allows a licensor to share intellectual property with a licensee for a specific period of time that usually binds the licensor to not share the property with anyone else. Normally, the license is unique to a certain area or market which gives the licensee the ability to profit off of the license on intellectual property such as a copyright like a book or a trademark like an apple.",exclusive license
exculpatory,Legal Theory & Latin Terms,"Information that increases a defendant’s probability of innocence or absolutely relieves them of liability. Often used to describe evidence in a criminal trial that justifies, excuses, or creates reasonable doubt about a defendant’s alleged actions or intentions.",exculpatory
exculpatory clause,Legal Theory & Latin Terms,"An exculpatory clause is a provision in a contract that releases or limits one party’s liability for certain damages . These clauses are commonly found in consumer contracts, such as amusement park waivers, gym memberships, rental agreements, or transportation tickets.",exculpatory clause
exculpatory evidence,Evidence Law,"In criminal law , exculpatory evidence is evidence , such as a statement, tending to excuse , justify, or absolve the alleged fault or guilt of a defendant . In other words, the evidence is favorable to the defendant. In contrast to it, inculpatory evidence tends to stress guilt.",exculpatory evidence
excusable neglect,Legal Theory & Latin Terms,"Excusable neglect is a term associated with legal proceedings , notably in bankruptcy cases, that includes inadvertence, mistakes, carelessness, or any other intervening circumstances beyond a party 's control. A court has the discretion to allow a party to file a motion after the deadline if it finds excusable neglect. It is worth noting that the litigant and their attorney 's conduct are considered as joint when deciding whether the neglect was excusable. In other words, clients are held accountable for the acts and omissions of their attorneys.",excusable neglect
excuse,Legal Theory & Latin Terms,"Excuse is an explanation stated in court as the grounds for exempting oneself from liability . In other words, a defendant with a valid excuse will not suffer the usual penalty for their actions. For example, if a motorist is charged with DUI , they may use an excuse defense if the driver was driving an injured person to a hospital, and there was no alternative way to send the injured person to the hospital under that circumstance.",excuse
execute,Legal Theory & Latin Terms,"To execute means to carry out or perform an action or obligation , such as executing a contract , order , or judgment; to sign or complete the formal requirements necessary to make a legal document effective, such as signing and delivering a contract, deed, or will;  to carry out a death sentence imposed by a court; or to enforce or carry out a monetary judgment , such as through seizure or sale of assets .",execute
executed remainder,Property & Real Estate Law,"Executed remainder is an outdated term for vested remainder , which is a property interest where a person is guaranteed to receive the property in the future.",executed remainder
execution,Criminal Law & Procedure,Execution means:,execution
executive clemency,Legal Theory & Latin Terms,"In the United States, executive clemency refers to the general powers of the president and of governors to pardon , grant amnesty , commutation , or reprieve to individuals who have either been convicted of or may face the prospect of conviction for a criminal offense. This power is limited to federal offenses in the case of the president, and state offenses in the case of governors—whose executive clemency powers are generally outlined within each state constitution . It is unclear whether the acceptance of executive clemency constitutes an admission of guilt, or if an executive may extend clemency unto themselves. One of the most famous examples of the exercise of the power of executive clemency was the 1974 pardon of Richard Nixon by President Gerald Ford.",executive clemency
executive order,Administrative Law,"An executive order is a directive issued by the President of the United States or a state governor that has the force of law. Executive orders are typically based on existing statutory or constitutional authority. They do not require legislative approval to take effect, and legislatures generally cannot overturn them directly. However, they remain subject to judicial review and may be invalidated if found unconstitutional or beyond the scope of statutory authority .",executive order
executive power,Legal Theory & Latin Terms,"In its first three articles, the U.S. Constitution outlines the branches of the U.S. Government , the powers that each branch contains, and the limitations to those powers. Article II outlines the duties of the Executive Branch .",executive power
executive privilege,Constitutional Law,"Executive privilege is the authority claimed by the President and other executive branch officials to withhold certain confidential communications from disclosure to the judicial or legislative branches . The privilege is not expressly mentioned in the Constitution but is derived from the doctrine of separation of powers , which allocates distinct roles to the legislative, executive, and judicial branches of government.",executive privilege
executor,Family Law & Estates/Trusts,An executor is someone named in a will as the person who will carry out the testator's formal wishes. Typical duties of an executor include paying outstanding taxes/ debt and distributing any remaining assets among the testator’s heirs .,executor
executory,Family Law & Estates/Trusts,"Executory refers to something (generally a contract ) that has not yet been fully performed or completed and is therefore considered imperfect or unassured until its full execution. Anything executory is started and not yet finished, or is in the process of being completed in order to take full effect at a future time.",executory
executory interest,Family Law & Estates/Trusts,An executory interest is a future interest in a transferee that must either divest the prior estate or spring out of the grantor to become possessory. Executory interests are non- vested interests and are subject to the Rules Against Perpetuities .,executory interest
executory remainder,Property & Real Estate Law,"Executory remainder (more commonly referred to as contingent remainder ) is a subtype of a remainder , or a future interest in the grantee . Executory remainders can come in two forms; a remainder is created in an unknown person or a remainder that has a condition precedent to possession. It is a future estate with some uncertainty, either in the identity of the possessor (""then to my children"" leaves uncertainty as to how many children there will be) or if the person will actually take the estate (""to my son, unless he moves away"").",executory remainder
executrix,Legal Theory & Latin Terms,"An executrix is an antiquated term for a woman named in a will as the person responsible for carrying out the terms of the will, as per the testator’s wishes. This term is not commonly used now and every person in this role, no matter their gender identity, is generally referred to as an executor .",executrix
exemplary damages,Contract Law,"Exemplary damages, better known as punitive damages , refer to extra damages awarded beyond that actually incurred by the plaintiff . Punitive damages are considered punishment or damages intended to dissuade and are typically awarded at the court's discretion when the defendant's behavior is found to be especially harmful. Punitive damages are normally not awarded in the context of a breach of contract claim. See e.g. O'Gilvie Minors v. United States 519 US 79 (1996) and Honda Motor Co. v. Oberg 512 US 415 (1994) .",exemplary damage
exempt employee,Employment & Labor Law,"Exempt employees are those ineligible for overtime pay or minimum wage from the Fair Labor and Standards Act . Usually exempt employees are in professional, administrative, executive, outside sales, and computer-related positions which have a base pay of at least $35,568 for the year. Employees may prefer a base-pay over hourly pay for the specified pay for accomplished work, not time worked, and they often receive compensation for extra work through bonuses in lieu of overtime pay.",exempt employee
exempt offering,Contract Law,"An exempt offering is a securities offering in which the issuer is not required to register the securities with the Securities and Exchange Commission (SEC) under the Securities Act of 1933 . Instead of full registration (which requires detailed disclosures and SEC review), the issuer may rely on an exemption that permits selling securities through a streamlined process, often to a limited group of sophisticated or accredited investors .",exempt offering
exempt property,Property & Real Estate Law,"Exempt property is any property that creditors cannot seize and sell in order to satisfy debt during chapter 7 or chapter 13 bankruptcy. The type of property exempted differs from state to state but often includes clothes, home furnishings, retirement plans, and small amounts of equity in a house and car.",exempt property
exemption,Bankruptcy Law,"Exemption is an immunity , exception , or freedom from the liability , duty , or other requirements, such as exemptions from taxation or execution for certain property, or exemptions from military conscription.",exemption
exemption trust,Family Law & Estates/Trusts,"Exemption trusts (also called a bypass trust , AB trust , or a credit shelter trust ) are a tool used by well-off married individuals to legally maximize their estate tax exemptions.",exemption trust
exhaustion,Administrative Law,"Exhaustion refers to the doctrine that states once a product is sold by a patent owner , the patent owner can’t sue the purchaser for having an authorized copy of the patented product. The patent owner’s exclusive rights of the patented product have been exhausted once a sale has been made. Therefore, the purchaser can use the product and resell the product without restriction. An example of this would be someone purchasing a laptop from a brand like Apple. With the sale, Apple has lost exclusive rights to that laptop and the person can use the laptop, lend the laptop to another party, or sell it without risk of a lawsuit .",exhaustion
exhaustion of administrative remedies,Administrative Law,Exhaustion of administrative remedies is a doctrine that generally requires a party to fully pursue all administrative remedies available when challenging a Federal agency’s decision prior to seeking a judicial remedy. This allows for a more efficient judicial system and synced administrative state. Exhausting of administrative remedies prevents cases from clogging the court system or resulting in different judicially defined rules for each controversy .,exhaustion of administrative remedy
exhibit,Legal Theory & Latin Terms,[Last reviewed in July of 2021 by the Wex Definitions Team ],exhibit
exigent circumstances,Legal Theory & Latin Terms,"Exigent circumstances, as defined in United States v. McConney are ""circumstances that would cause a reasonable person to believe that entry (or other relevant prompt action) was necessary to prevent physical harm to the officers or other persons, the destruction of relevant evidence, the escape of the suspect, or some other consequence improperly frustrating legitimate law enforcement efforts.""",exigent circumstance
exonerative fact,Legal Theory & Latin Terms,To exonerate means to clear from an accusation . An “exonerative fact” appears in two different legal contexts.,exonerative fact
expectancy,Legal Theory & Latin Terms,"Expectancy, in property and estate law, refers to a non- vested anticipation of receiving property in the future, such as the possible inheritance of an heir apparent . Because an expectancy depends on a future event, such as the death of the property owner, it is not a present property right and gives the potential heir no enforceable claim during the ancestor ’s lifetime. Under common law , an expectancy generally cannot be transferred or assigned because there is no existing interest to convey .",expectancy
expectation damages,Contract Law,"Expectation damages are damages that can be recovered from a contract breach by the non-breaching party . It intends to put the non-breaching party in as good of a position as if the breaching party fully performed their contractual duties . As for the calculation, in brief, expectation damages are the difference between what was given and what was promised, along with consequential and incidental costs.",expectation damage
expectation of privacy,Legal Theory & Latin Terms,"The expectation of privacy is a legal test, originated from Katz v. United States and is a key component of Fourth Amendment analysis. The Fourth Amendment protects people from warrantless searches of places or seizures of persons or objects , in which they have a subjective expectation of privacy that is deemed reasonable . The test determines whether an action by the government has violated an individual's reasonable expectation of privacy.",expectation of privacy
expense,Legal Theory & Latin Terms,"Expense is a cost incurred by a company through its operations to earn revenue. The expenses can be fixed, like rent and insurance , or variable, like labor or raw materials for production. Fixed expenses generally are costs that remain constant. Variable expenses are costs that vary, when production volume goes up, the variable expenses increase. Some expenses are deductible business expenses .",expense
expenses of administration,Legal Theory & Latin Terms,"Expenses of administration (also referred to as administration costs) are the required costs incurred by the administrator in carrying out the terms of an estate . These expenses can be deducted from the estate’s income, reducing tax liability. Examples of expenses include court and attorney fees .",expense of administration
expert testimony,Evidence Law,"Expert testimony is an opinion stated under oath by a qualified individual during a trial or deposition . Such testimony can aid in clarifying complex concepts, presenting scientific evidence , evaluating data, and assisting in understanding the implications of certain actions or events. Expert witnesses can help the jury navigate through intricate subjects, and ultimately contribute to the establishment of accurate facts and informed decisions.",expert testimony
expert witness,Evidence Law,"An expert witness is a person with specialized knowledge, skills, education, or experience in a particular field who is called upon to provide their expertise in legal proceedings to assist the court with understanding complex technical or scientific issues. See Finding and Researching Experts and Their Testimony White Paper . Each party selects their own expert witness, and those experts are usually paid a fee for their consultation and their testimony. Experts may be located in a variety of ways, including prior lawsuits , and online resources such as the JurisPro Expert Witness Directory .",expert witness
expert witness disclosure,Criminal Law & Procedure,"Parties to a lawsuit have a duty to disclose to opposing counsel the identity of their expert witnesses they intend to call at trial , and to make a fair disclosure of the expert’s views. See Payne v. S.S. Nabob , 302 F.2d 803, 807 (3d Cir. 1962), cert denied 371 U.S. 870 (1962).",expert witness disclosure
expert witness reports,Criminal Law & Procedure,"Expert witness reports in civil federal court are governed by Federal Rule of Civil Procedure 26(a)(2)(b ). Under this rule, the parties are required to disclose the names of their retained expert witnesses before trial , and to give the opposing party a written report, prepared and signed by the expert witness. Unless stipulated or otherwise ordered by the court, this report must contain:",expert witness report
Export Control Classification Number (ECCN),Legal Theory & Latin Terms,Export Control Classification Number (ECCN) is an alphanumeric code used by the Bureau of Industry and Security (BIS) to determine whether goods set for export outside of the United States fall under the Export Administration Regulations (EAR) . The ECCN helps both the BIS and companies determine whether exports need a license and to what extent the products can be exported at all. The Commerce Control List (CCL) contains the instructions for determining ECCN numbers.,export control classification number (eccn)
export license,Intellectual Property (IP),Export licenses refer to the licenses required under the Export Administration Regulations (EAR) and other export laws for items under certain categories to be exported outside of the United States. This export system allows the U.S. government to monitor what technology and other critical goods are being exported and prevent breaches of national security interests. Other countries around the world have similar export license requirements.,export license
express,Legal Theory & Latin Terms,"Express terms are the specific provisions in a contract that are clearly stated, whether orally or in writing. These terms set out the agreed rights and obligations of the parties without the need for inference or implication. Express terms differ from implied terms, which are not expressly stated but are understood to exist based on the nature of the transaction , established customs, or the conduct of the parties.",express
express authority,Intellectual Property (IP),"In agency law , express authority is an agent 's power to act on behalf of a principal , expressly granted by the principal. It can be given in an agency agreement or through clear and express oral instructions. The result of express authority is that the conduct of an agent can legally make representations for the principal or even legally bind the principal in a contract .",express authority
express contract,Contract Law,"An express contract is an exchange of promises where terms by which the parties agree to be bound are declared either orally or in writing, or a combination of both, at the time it is made.",express contract
express notice,Immigration & Naturalization Law,"Express notice, also known as actual notice , is when a person is told something directly through a written document or verbally. Once the person has been provided express notice, they have specific knowledge of the fact or proceeding . An example of express notice is a tenant providing a landlord with written notice that they plan on moving out at the end of their lease . The landlord is unable to claim they did not have knowledge the tenant wasn’t planning on renewing their lease since they were given express notice from the tenant of their plans to move out.",express notice
express trust,Family Law & Estates/Trusts,"An express trust (intentional trust) is any trust created volitionally by a settlor (also known as trustor or grantor ) in express terms , and usually in writing. It can be either private or public. The opposite of an express trust, in legal terms, is an implied trust, which is implied by the circumstances.",express trust
express warranty,Contract Law,"An express warranty is a warranty as to the condition, quality, or nature of a good or property intentionally and clearly stated to the other contracting party . The Uniform Commercial Code § 2–313 provides that a seller can create an express warranty in the following ways:",express warranty
expropriation,Legal Theory & Latin Terms,"Expropriation is the governmental seizure of property or a change to existing private property rights, usually for public benefit. The Fifth Amendment of the United States Constitution prohibits governmental taking of property without “ just compensation .” Prominent examples of expropriation include eminent domain in the United States, as well as land reform policies in South Africa .",expropriation
expunge,Legal Theory & Latin Terms,"To expunge means to destroy, obliterate, or strike out records or information in files, computers, and other depositories. A well-known example of this is the expungement of criminal records . The majority of states allow people to have their criminal records expunged, depending on the laws within the jurisdiction . Some states completely remove the arrest record from all databases, so a person can deny they have ever been arrested for the crime while other states will still maintain public records of the arrest even after it has been expunged.",expunge
extended warranty contracts,Contract Law,"Extended warranty contracts are additional warranties bought for an item or service to add additional coverage for the purchased goods. The warranty usually extends the time of coverage, but an extended warranty may also be bought to expand coverage to other things not provided by the original warranty. Extended warranties can be bought for a variety of goods from vehicles to headphones, and they may be bought from the retailer or from third-party insurers. For additional information on extended warranties, including telemarketing calls, click here .",extended warranty contract
extension,Legal Theory & Latin Terms,"Extension is a grant to increase the time originally specified in a written contract , a verbal agreement, or an obligation . It may be an additional time granted to make a payment of debt or a bill ; it can be time granted to file a legal document after the expiration of a due date, such as income tax return; or it can be prolongation of an existing lease of a real estate property.",extension
extenuating circumstances,Legal Theory & Latin Terms,"Extenuating circumstances (also called mitigating factors ) are the surrounding facts or details essential to fully understanding the context of a situation. With this additional context, the unlawful actions a person took may be interpreted as less severe, or that person’s culpability may be diminished. In a criminal trial , a showing of extenuating circumstances might result in a lesser charge or a reduction in punishment, such as a shorter sentence . In civil cases, extenuating circumstances may decrease the amount of damages awarded.",extenuating circumstance
extermination,Contract Law,"In international criminal law , extermination refers to the mass murder of a demographic group. Extermination is a crime against humanity codified in Article 7 of the Rome Statute of the International Criminal Court (ICC) . Extermination includes ""the intentional infliction of conditions of life, inter alia the deprivation of access to food and medicine, calculated to bring about the destruction of part of a population.""",extermination
extinguishment,Legal Theory & Latin Terms,"Extinguishment is the cancellation or destruction of a legal right , interest , or contract . Debt is considered extinguished when the borrower pays the full balance of the debt, and the creditor releases the borrower. Extinguishment also applies when the creditor accepts a higher security .",extinguishment
extortion,Criminal Law & Procedure,"Extortion refers to imposing an action or obtaining something by force or coercion . The crime of extortion does exclude legitimate negotiation methods. One example could be a party negotiating a deal with a contractor; neither party could make a threat towards one another in exchange for something in the contract . A legitimate negotiation tactic might include the idea of “ puffing ” (which is making something look reasonably more good than it might otherwise be) Under the color of office , a public or private authority may abuse their authority to commit extortion.",extortion
extradite,Legal Theory & Latin Terms,"To extradite is to transfer an incarcerated person from one jurisdiction to another, so that the person might be tried or punished for crimes committed in the latter jurisdiction. An extradition request is initiated by one state or country, which might be granted or denied depending on the laws or agreements between them.",extradite
extradition,International Law,"Extradition is the removal of a person (typically referred to as a fugitive ) from a requested jurisdiction to another jurisdiction for criminal prosecution or punishment. Some relevant case law for extradition can be found in e.g. United States v. Alvarez-Machain, 504 US 655 (1992) , and In the matter of Morris Strauss, 197 US 324 (1905) .",extradition
extrajudicial,Legal Theory & Latin Terms,"Extrajudicial refers to something that has occurred outside of or without the authorization of the judicial system. As such, it might not follow proper legal procedures or might not carry adequate legal authority. For example, an extrajudicial statement would be something said outside of the courtroom. Such a statement would need to qualify under the hearsay rule to be entered as evidence in court proceedings. As another example, an extrajudicial punishment would be a punishment administered by state actors without due process of the law.",extrajudicial
extraordinary compensation,Legal Theory & Latin Terms,Extraordinary compensation (also called extraordinary fees ) is payment an attorney seeks for irregular tasks required in administering an estate such as extra accounting during a tax audit . The attorney must prove to a judge that the compensation is justified in order to receive the extra fees.,extraordinary compensation
extraordinary fees,Legal Theory & Latin Terms,Extraordinary fees are irregular fees that an attorney incurs when administering an estate . The attorney must show the court the reasonableness of the expenses for the estate before a judge will approve the fees. Extraordinary fees can be for costs like irregular legal suits involved in the estate or just overly burdensome tasks regarding the estate like audited taxes.,extraordinary fee
extreme cruelty,Legal Theory & Latin Terms,"Extreme cruelty is a type of fault divorce where a spouse claims the other spouse committed some form of physical or mental cruelty against them. Most divorces now are now no-fault divorces, but for the few states that continue allowing fault divorce, extreme cruelty can encompass a wide variety of major and minor factors depending on the statute such as domestic violence, bad credit, yelling, and lack of a job. While this varies greatly by state, a person may choose to pursue an extreme cruelty based divorce because they may receive more property or more easily gain child custody through a fault divorce rather than a no fault divorce. Further, some states require a separation period for no-fault divorces which may not be required for a divorce based on extreme cruelty.",extreme cruelty
Extreme Risk Protection Order (ERPO),Legal Theory & Latin Terms,,extreme risk protection order (erpo)
extrinsic evidence,Evidence Law,"Extrinsic evidence, as used in the context of contract construction, is evidence relating to a contract but not appearing on the four corners of the contract because it comes from other sources involving the setting in which the parties negotiated the contract.",extrinsic evidence
extrinsic fraud,Criminal Law & Procedure,Extrinsic fraud is an act of deception or misrepresentation outside the event itself which deprives the victim of material information or participation. Compare to: intrinsic fraud .,extrinsic fraud
eyewitness,Criminal Law & Procedure,"An eyewitness is a person who has firsthand knowledge of an event from seeing the event.  These people are often called into a court of law to give testimony about what they have seen. Generally, a person claiming to be an eyewitness must satisfy the court regarding their presence on the spot through some kind of circumstantial or corroborative evidence .",eyewitness
face amount,Legal Theory & Latin Terms,"Face amount refers to what the words or numbers on the printed page of a financial instrument literally say. Often used in the context of life insurance , the face amount refers to the stated amount of money payable to the deceased’s beneficiaries at the time of loss or when the policy matures. This is exclusive of any additional features, such as accrued interest, accident insurance, or disability insurance.",face amount
face value,Legal Theory & Latin Terms,"Face value is the nominal value printed on a security at the time of issuance . It can apply to currency , stocks and bonds , though it is most often used with bonds. For bonds, face value is the same as par value , meaning the amount the bondholder will receive at maturity . For stocks, face value refers to the nominal amount assigned per share in the corporate charter , representing the minimum capital a corporation must maintain for each share.",face value
fact,Legal Theory & Latin Terms,A fact is something that actually occurred or a statement presented as objectively true. Determining facts is a primary role of trial courts .,fact
fact finder,Legal Theory & Latin Terms,"A fact finder, also known as trier of fact , is an impartial person or examiner designated to appraise the facts underlying a particular matter of a case .",fact finder
fact pleading,Criminal Law & Procedure,"Fact pleading is one of the two main pleading systems in the United States. Pleading rules establish what must be alleged for a lawsuit or other claim to proceed. They ensure that claims rest on sufficient grounds and that the opposing party is informed of the claims against them. Under fact pleading, the party bringing the claim must allege the specific facts necessary to establish each element of the cause of action . For example, in a breach of contract claim, the pleading would generally need to state the existence of a valid contract , the clause alleged to have been broken, and the specific act that constituted the breach. The degree of factual detail required varies by jurisdiction and by the type of claim.",fact pleading
factor,Legal Theory & Latin Terms,A factor is something that contributes to a particular result or outcome.,factor
factor's lien,Contract Law,A factor’s lien is a type of security interest in property that allows agents and sometimes other parties to have their rights secured in property of a principal . The property is usually held on consignment by a factor in such a situation. A factor’s lien would confer the right to retain the property’s or asset’s possession until the factor receives full compensation from the principal. This allows factor’s to recover owed fees and expenses from the secured property should the principal fail to pay.,factor's lien
factoring,Legal Theory & Latin Terms,"Factoring is a type of financing agreement where a creditor buys the rights to or the credit risk of a company’s accounts receivable . Instead of getting a loan from a bank, a company may sell their accounts receivable to a creditor for a fee instead to shore up immediate cash or improve their balance sheets . Factors, when buying accounts receivable, typically acquire all the risk and responsibilities in collecting the future receivables, and factors typically have no recourse to the company. Thus, the company can get cash without worrying about any future liabilities unlike with a loan. However, factors often will ensure that the company retains liability for any breaches of contract or disputes between the company and customers arising before the factoring agreement.",factoring
failure of consideration,Contract Law,"Failure of consideration is a concept which relates to the law of contracts . In contract law, a party trades something of value in exchange for consideration .  The term failure of consideration implies that the consideration, which was sufficient at the time of bargaining , has ceased to be sufficient.  This could happen if the consideration offered becomes worthless or miniscule compared to the value of the contract, or if the party promising to furnish the consideration fails to do so.",failure of consideration
failure of issue,Legal Theory & Latin Terms,A failure of issue occurs when a property - holder dies but leaves behind no living children or direct descendants to inherit the property. There are two specific types:,failure of issue
failure to state a claim,Legal Theory & Latin Terms,"Failure to state a claim is a defense asserting that even if all the factual allegations in a complaint are true, they are insufficient to establish a cause of action and the case should therefore be dismissed .",failure to state a claim
fair comment,Legal Theory & Latin Terms,"A fair comment is a privilege that allows the media to publish opinions about public officials and public figures without fear of a libel suit . It also allows the general public to share their opinions about these individuals. In New York Times Co. v. Sullivan , the Supreme Court held that there is an exception when the person making the statement knows at the time of the statement, that the information is false or when the person has a reckless disregard for whether the statement may be true or false. The public figure has the burden of proving that the person making the statement did so maliciously .",fair comment
Fair Credit Billing Act (FCBA),Legal Theory & Latin Terms,"The Fair Credit Billing Act (FCBA) establishes procedures for resolving billing disputes involving “open-end credit” accounts such as credit cards. It protects consumers from errors on billing statements, including incorrect charges or amounts, unauthorized transactions, and failure to post payments or credits. Under the Act, consumers have 60 days from the date a billing statement is sent to dispute certain charges over $50. Covered disputes include inaccurate amounts, charges for undelivered or defective goods, and transactions made without authorization. Consumer liability for unauthorized use is limited to $50.",fair credit billing act (fcba)
Fair Credit Reporting Act (FCRA),Legal Theory & Latin Terms,"Fair Credit Reporting Act (FCRA) is a fundamental piece of legislation from 1970 that regulates both consumer reporting agencies and credit reports . It applies to information reported on individuals concerning their credit such as: information collected, used, or expected to be used to evaluate eligibility for credit, insurance, and employment; assessment of risks and review of consumer accounts; certain government licenses or benefits and determinations regarding child support; any criminal history; other business transactions involving a consumer in their role as consumer.",fair credit reporting act (fcra)
Fair Debt Collection Practices Act,Immigration & Naturalization Law,"A creditor may seek to collect an outstanding debt in several ways. However, because of “abundant evidence of the use of abusive, deceptive, and unfair debt collection practices by many debt collectors ,” ( 15 U.S.C. § 1692 ) Congress enacted the Fair Debt Collection Practices Act (FDCPA) in 1978, codified in 15 U.S. Code Subchapter V .",fair debt collection practice act
Fair Debt Collection Practices Act (FDCPA),Immigration & Naturalization Law,"The Fair Debt Collection Practices Act (FDCPA) , codified at 15 U.S.C. Subchapter V , restricts the conduct of third-party debt collectors when pursuing payment. Collectors may not harass consumers and may only contact them between 8 a.m. and 9 p.m., unless the consumer agrees to another time. If a consumer requests in writing that communication stop, the collector must cease contact and provide written notice of the debt , including the amount and the name of the creditor . Collectors may contact other individuals solely to locate the consumer but may not disclose the existence of the debt. The FDCPA also prohibits false, misleading, or threatening statements during collection efforts. Consumers may sue debt collectors who violate the Act and recover damages and attorney fees .",fair debt collection practice act (fdcpa)
Fair Housing Act & Fair Housing Amendments Act,Constitutional Law,,fair housing act & fair housing amendment act
Fair Labor Standards Act,Employment & Labor Law,"The Fair Labor Standards Act is a federal statute passed as part of the New Deal that regulates the hours, wages, and working conditions of employees and prohibits child labor under the majority of circumstances. The Fair Labor Standards Act is codified at 29 U.S.C §§201-219 .",fair labor standard act
