source,target,language_pair,Legal_Category
Cash benefits for pensioners,Geldleistungen für Rentner,en-de,General Legal
PICTOGRAM COMBINATIONS,PIKTOGRAMMKOMBINATIONEN,en-de,General Legal
A company operates a mine in a country where legislation requires that the owner must restore the site on completion of its mining operations.,"Eine Gesellschaft betreibt ein Bergwerk in einem Staat, in dem der Eigentümer gesetzlich verpflichtet ist, den Bereich der Förderung nach Beendigung der Abbautätigkeiten wiederherzustellen.",en-de,Corporate Law
The recognition of revenue and expenses by reference to the stage of completion of a contract is often referred to as the percentage of completion method.,Die ergebniswirksame Berücksichtigung von Erträgen und Aufwendungen gemäß dem Leistungsfortschritt wird häufig als Gewinnrealisierung nach dem Fertigstellungsgrad bezeichnet.,en-de,Contract Law
"The shipping company or its agent shall sign a guarantee in respect of those seamen,",Die Reederei oder der Schiffsagent unterzeichnet für diese Seeleute eine Garantieerklärung.,en-de,Corporate Law
"However, such a differential supplement does not need to be provided for children residing in another Member State when entitlement to the benefit in question is based on residence only.","Ein derartiger Unterschiedsbetrag muss jedoch nicht für Kinder gewährt werden, die in einem anderen Mitgliedstaat wohnen, wenn der entsprechende Leistungsanspruch ausschließlich durch den Wohnort ausgelöst wird.",en-de,General Legal
"the following second subparagraph is added to paragraph 8:""For the 2002/03 wine year the date in the first subparagraph shall be 31 August of the following wine year."";","An Absatz 8 wird folgender zweiter Unterabsatz angefügt:""Für das Wirtschaftsjahr 2002/2003 wird das in Unterabsatz 1 vorgesehene Datum auf den 31. August des folgenden Wirtschaftsjahrs verschoben.""",en-de,General Legal
"However, existing stocks bearing the name 'Bio-Rad Platelia test' may be used within nine months from the date of entry into force of this Regulation,",Allerdings dürfen vorhandene Bestände mit der Bezeichnung 'Bio-Rad Platelia' innerhalb von neun Monaten nach Inkrafttreten dieser Verordnung aufgebraucht werden;,en-de,Administrative Law
"Similarly, in 2002/03, whilst imports continued at their level in the previous year, the Community producers' sales fell by over 8000 tonnes.","Auch 2002/03 war eine ähnliche Entwicklung zu beobachten, denn die Einfuhren blieben auf dem Niveau des Vorjahres, die Verkäufe der Gemeinschaftshersteller gingen aber um mehr als 8000 Tonnen zurück.",en-de,General Legal
COMPARATIVE TABLE WITH REGULATION (EC) No 1347/2000,ENTSPRECHUNGSTABELLE ZUR VERORDNUNG (EG) Nr. 1347/2000,en-de,Administrative Law
The yellow index shall be measured according to the ICC 152 method or an equivalent recognised method.,Der Gelb-Index wird nach der Methode ICC 152 oder einer gleichwertigen anerkannten Methode bestimmt.,en-de,General Legal
"Schengen Executive Committee Decision (SCH/Com-ex (94) 2) of 26 April 1994, and",der Beschluss (SCH/Com-ex (94) 2) des Schengener Exekutivausschusses vom 26. April 1994 und,en-de,General Legal
"Storage at Loenhout (BE, extending existing site)","Speicheranlage in Loenhout (BE, Erweiterung der vorhandenen Anlage)",en-de,General Legal
a mention that a specimen was filed pursuant to Article 5;,"der Vermerk, dass eine Probe gemäß Artikel 5 eingereicht wurde;",en-de,Constitutional Law
The Fund shall assist in the implementation of policies designed to equip the workforce with the skills required for stable employment and to generate employment opportunities.,"Der Fonds fördert eine Politik, die einerseits die Arbeitskräfte dabei unterstützen soll, die notwendigen beruflichen Fähigkeiten zu erwerben, um einen festen Arbeitsplatz zu erhalten, und andererseits die Beschäftigungsmöglichekeiten entwickeln soll.",en-de,Labor Law
"Juniper, Juniperus communis, ext.","Wacholder, Juniperus communis, Extrakt",en-de,General Legal
"in the second paragraph, ""Categories A and B and in the Language Service"" is replaced by ""function group AD, and in function group AST 5 to 11."";","In Absatz 2 werden die Worte ""der Laufbahngruppen A und B und der Sonderlaufbahn Sprachendienst"" durch die Worte ""der Funktionsgruppe AD und der Funktionsgruppe AST 5 bis 11"" ersetzt.",en-de,General Legal
Requirement for authorisation,Zulassungsanforderung,en-de,General Legal
"third countries or parts of third countries listed in part 1 of Annex II of Decision 79/542/EEC, from which imports of all categories of fresh meat of the respective species are authorised.","Drittländer bzw. Drittlandgebiete gemäß Anhang II Teil 1 der Entscheidung 79/542/EWG, aus denen auch die Einfuhr aller Kategorien von frischem Fleisch der betreffenden Arten zugelassen ist.",en-de,General Legal
employee benefit costs;,Zuwendungen an Arbeitnehmer;,en-de,Labor Law
"THE REQUIREMENT OF ITEM 6.5.2 SHALL NOT APPLY TO PARTS ON OR OF THE BUMPER OR TO BUMPER INSETS WHICH HAVE A PROJECTION OF LESS THAN 5 MM , WITH SPECIAL <REF>ERENCE TO JOINT COVERS AND JETS FOR HEADLIGHT WASHERS;","Die Vorschrift 6.5.2 gilt nicht für Teile oder Eindrückungen der Stoßstange und auf dieser angebrachte Teile , die Vorsprünge von weniger als 5 mm bilden , wie insbesondere Laschen oder Spritzdüsen für Scheinwerferreinigungsanlagen;",en-de,General Legal
Constituents shall be accompanied by an EC declaration of conformity or suitability for use.,Den Komponenten ist eine EG-Konformitätserklärung oder EG-Gebrauchstauglichkeitserklärung beizufügen.,en-de,General Legal
Authorisation to acquire and to possess a firearm listed in Article 80 may be issued only:,"Eine Erlaubnis zum Erwerb und Besitz einer Feuerwaffe nach Artikel 80 darf einer Person nur erteilt werden,",en-de,Constitutional Law
Commission Decision of 11 March 2003 establishing the European Community Energy Star Board,Beschluss der Kommission vom 11. März 2003 zur Errichtung des Energy-Star-Büros der Europäischen Gemeinschaft,en-de,Corporate Law
Such statements are misleading because they detract from the reliability and understandability of the financial statements.,"Solche Angaben sind irreführend, da sie von der Verlässlichkeit und der Verständlichkeit des Abschlusses ablenken.",en-de,General Legal
THE IRIS DIAPHRAGM MUST BE EASY TO OPERATE ( E.G . CONTROL LEVER ON THE PLATFORM OF THE TRICHINOSCOPE ) .,DIE IRISBLENDE MUSS LEICHT ZU BEDIENEN SEIN ( Z .B . BEDIENUNGSHEBEL AN DER PULTPLATTE DES TRICHINOSKOPS ) .,en-de,General Legal
"An enterprise uses IAS 37, provisions, contingent liabilities and contingent assets, to determine whether the enterprise recognises a liability and how the enterprise measures any such liability.","Zur Beurteilung, ob eine Schuld anzusetzen und wie diese zu bewerten ist, zieht ein Unternehmen IAS 37, Rückstellungen, Eventualschulden und Eventualforderungen, heran.",en-de,Civil Law
"The catchment area of the Ciron (Lot et Garonne, Gironde), from the source to the Moulin de Castaing dam",das Einzugsgebiet des Ciron (Lot-et-Garonne und Gironde) von der Quelle bis zum Staudamm Moulin de Castaing,en-de,General Legal
the existing Title IV becomes Title V and the following Title is inserted:,"Der bisherige Titel IV wird Titel V, und der folgende Titel IV wird eingefügt:",en-de,Property Law
Any such reduction should be reversed to the extent that it becomes probable that sufficient taxable profit will be available.,"Alle derartigen Minderungen sind in dem Umfang wieder aufzuheben, in dem es wahrscheinlich wird, dass ausreichend zu versteuerndes Ergebnis zur Verfügung stehen wird.",en-de,General Legal
Place of birth,Geburtsort,en-de,General Legal
"Legal status, regional centres","Rechtsform, regionale Zentren",en-de,General Legal
The content of the scheme of operation of branches of third-country undertakings to be established in the Community should also be defined.,"Außerdem sollte der Inhalt des Tätigkeitsplans von Zweigniederlassungen von Unternehmen aus Drittstaaten, die sich in der Gemeinschaft niederlassen, definiert werden.",en-de,General Legal
Tullihallitus PL 512 FIN - 00101 Helsinki Faksi (358-9) 614 28 52 Tullstyrelsen PB 512 FIN - 00101 Helsingfors Fax (358-9) 614 28 52,Tullihallitus PL 512 FIN - 00101 Helsinki Faksi (358-9) 614 28 52 Tullstyrelsen PB 512 FIN - 00101 Helsingfors Fax (358-9) 614 28 52,en-de,General Legal
"Articles 5, 6 and 7 are replaced by the following:","Die Artikel 5, 6 und 7 erhalten folgende Fassung:",en-de,General Legal
""" Approved for steering on radar by one person.""",""" Das Schiff verfügt über einen Radar-Einmannsteuerstand.""",en-de,General Legal
"if the sensitivity threshold is not reached in Brussels, only the correction coefficients of places where the change in the cost of living (as measured by the implicit indices between June and December) * has exceeded the threshold shall be adjusted.","wird die Sensibilitätsschwelle in Brüssel nicht erreicht, so werden nur die Berichtigungskoeffizienten der Dienstorte mit einer über dieser Schwelle liegenden Kaufkraftentwicklung (nach Maßgabe der Entwicklung der impliziten Indizes zwischen Juni und Dezember) angeglichen.",en-de,General Legal
"Having regard to Council Regulation (EC) No 3072/95 of 22 December 1995 on the common organisation of the market in rice(1), as last amended by Commission Regulation (EC) No 411/2002(2), and in particular Article 11(4) thereof,","gestützt auf die Verordnung (EG) Nr. 3072/95 des Rates vom 22. Dezember 1995 über die gemeinsame Marktorganisation für Reis(1), zuletzt geändert durch die Verordnung (EG) Nr. 411/2002 der Kommission(2), insbesondere auf Artikel 11 Absatz 4,",en-de,Constitutional Law
The total amount of insoluble inorganic ingredients at the recommended dosage shall be less than 30 g/wash.,Der Gesamtgehalt an unlöslichen anorganischen Inhaltsstoffen in der empfohlenen Dosierung muss unter 30 g/Waschgang liegen.,en-de,General Legal
"However, when the sluice-gate price applicable from 1 November, 1 February and 1 May, is being fixed, trends in world market prices for feed grain shall be taken into account only if the price of the quantity of feed grain shows a minimum variation from that used in calculating the sluice-gate price for the preceding quarter.","Bei der Festsetzung des ab 1. November, 1. Februar und 1. Mai geltenden Einschleusungspreises wird der Entwicklung der Futtergetreidepreise auf dem Weltmarkt jedoch nur Rechnung getragen, wenn der Preis der genannten Menge gegenüber dem für die Berechnung des Einschleusungspreises für das vorherige Vierteljahr herangezogenen Preis eine Mindestabweichung aufweist.",en-de,General Legal
"The Contracting Parties shall set up and maintain, on a common cost basis and bearing joint liability, the technical support function of the Schengen Information System.",Die Vertragsparteien errichten und unterhalten in gemeinsamer Verantwortung und auf gemeinsame Kosten die technische Unterstützungseinheit des Schengener Informationssystems.,en-de,Civil Law
"REGION OF LOMBARDIA, PROVINCE OF BRESCIA","REGION LOMBARDEI, PROVINZ BRESCIA",en-de,General Legal
"When the competent authorities have defined the concept of profits made, the Commission shall submit proposals for the harmonisation of this concept by means of a Directive on the harmonisation of the annual accounts of insurance undertakings and providing for the coordination set out in Article 1(2) of Directive 78/660/EEC;","Nachdem der Begriff des erzielten Gewinns von den zuständigen Behörden festgelegt worden ist, wird die Kommission für die Harmonisierung des genannten Begriffs Vorschläge im Rahmen einer Richtlinie vorlegen, die die Harmonisierung der Jahresabschlüsse der Versicherungsunternehmen vorsieht und die in Artikel 1 Absatz 2 der Richtlinie 78/660/EWG vorgesehene Koordinierung umfasst;",en-de,Constitutional Law
"When, in exceptional circumstances, an enterprise's balance sheet date changes and annual financial statements are presented for a period longer or shorter than one year, an enterprise should disclose, in addition to the period covered by the financial statements:","Wenn sich unter besonderen Umständen der Bilanzstichtag eines Unternehmens ändert, und der Abschluss für einen Zeitraum aufgestellt wird, der länger oder kürzer als ein Jahr ist, hat ein Unternehmen zusätzlich zur Berichtsperiode, auf die sich der Abschluss bezieht, anzugeben:",en-de,Corporate Law
"This certificate shall indicate, in addition to the name of its beneficiary and the identification of the model, a detailed list of the tests performed and the results obtained.",Auf diesem Zertifikat ist neben dem Namen des Empfängers und der Modellkennung eine ausführliche Liste der durchgeführten Prüfungen und der erzielten Ergebnisse anzuführen.,en-de,General Legal
"Done at Brussels, 19 December 2002.",Geschehen zu Brüssel am 19. Dezember 2002.,en-de,General Legal
"I. Information is to be collected on whether or not the holding practises agriculture according to certain set standards and rules specified in Council Regulation (EEC) No 2092/91(2), as last amended by Commission Regulation (EC) No 473/2002(3) or, where applicable, the most recent legislation, on ""organic production of agricultural products and indications referring thereto on agricultural products and foodstuffs"", and/or the equivalent national rules for organic production.","I. Es sind Informationen darüber zu erheben, ob der Betrieb Landwirtschaft unter Einhaltung bestimmter Standards und Vorschriften im Sinne der Verordnung (EWG) Nr. 2092/91 des Rates(2), zuletzt geändert durch die Verordnung (EG) Nr. 473/2002 der Kommission(3), oder gegebenenfalls neuerer Rechtsvorschriften über den ""ökologischen Landbau und die entsprechende Kennzeichnung der landwirtschaftlichen Erzeugnisse und Lebensmittel"" bzw. der entsprechenden nationalen Vorschriften für den ökologischen Landbau betreibt.",en-de,Administrative Law
Those transfers are usually received from other pension funds or insurance companies.,Diese Übertragungen stammen in der Regel von anderen Pensionsfonds oder Versicherungsgesellschaften.,en-de,General Legal
"The Commission shall evaluate, in close cooperation with the Member States, the need to propose measures at Community level in order to prevent any unacceptable risks for human health and the environment within the Community.","Die Kommission prüft in enger Zusammenarbeit mit den Mitgliedstaaten die Notwendigkeit, zur Vermeidung inakzeptabler Risiken für die menschliche Gesundheit und die Umwelt in der Gemeinschaft Maßnahmen auf Gemeinschaftsebene vorzuschlagen.",en-de,Environmental Law
"GOODS ,","WAREN ,",en-de,General Legal
The temperature of the water and the period of immersion must be such as to enable: - the contents of the aerosol dispenser to reach a uniform temperature of 50º C or,daß der Inhalt der Ärosolpackung die einheitliche Temperatur von 50 C erreicht oder,en-de,General Legal
"2,2?Œ,2?-(Hexahydro-1,3,5-triazine- 1,3,5-triyl)triethanol","2,2?,2?-(Hexahydro-1,3,5-triazin-1,3,5-triyl)triethanol",en-de,General Legal
"In the case of works contracts, account shall be taken not only of the value of the works but also of the estimated total value of the supplies needed to carry out the works and made available to the contractor by the contracting authority.","Bei Bauaufträgen ist außer dem Auftragswert der eigentlichen Bauarbeiten der geschätzte Wert der Lieferungen zu berücksichtigen, die für die Ausführung der Arbeiten erforderlich sind und dem Bauunternehmer vom öffentlichen Auftraggeber zur Verfügung gestellt werden.",en-de,Administrative Law
"Member States should complement this notice with additional information appropriate to the local conditions and circumstances, and with their national provisions adopted on the basis of Directive 97/78/EC.","Die Mitgliedstaaten sollten das Hinweisschild je nach den örtlichen Gegebenheiten und Bräuchen um zusätzliche Informationen ergänzen, einschließlich ihrer nationalen Vorschriften, die sie auf der Grundlage der Richtlinie 97/78/EG erlassen haben.",en-de,General Legal
For establishing facts they shall be treated equally to inspection and surveillance reports of the Member States.,Sie werden für die Zwecke der Feststellung des Tatbestands den Inspektions- und Überwachungsberichten der Mitgliedstaaten selbst gleichgestellt.,en-de,General Legal
"In the case of service or supply contracts which are awarded regularly or are to be renewed within a given time, the contract value shall be established on the basis of:",Bei regelmäßigen oder innerhalb eines bestimmten Zeitraums erneuerbaren Dienstleistungs- oder Lieferaufträgen ist die Berechnungsgrundlage für den geschätzten Vertragswert:,en-de,Contract Law
"The approach provides certainty, predictability and a basis for limiting aid and for ensuring equal treatment between regions and Member States.","Das Konzept bietet Rechtssicherheit, Vorhersehbarkeit und eine Grundlage zur Begrenzung der Beihilfevergabe und zur Gewährleistung der Gleichbehandlung von Regionen und Mitgliedstaaten.",en-de,General Legal
The chairman of the Committee shall be a representative of the Commission.,Den Vorsitz im Ausschuß führt ein Vertreter der Kommission.,en-de,General Legal
M.Sec_Data_Generation Security data generation algorithms must be accessible to authorised and trusted persons only,M.Sec_Data_Generation Die Algorithmen zur Generierung von Sicherheitsdaten dürfen nur berechtigten und vertrauenswürdigen Personen zugänglich sein,en-de,General Legal
Any lighting devices using liquid fuel must be made of metal and burn only fuels with a flash-point above 55 °C or paraffin.,"Beleuchtungseinrichtungen mit flüssigem Brennstoff müssen aus Metall hergestellt sein und dürfen nur mit Brennstoffen, deren Flammpunkt über 55 °C liegt, oder mit handelsüblichem Petroleum betrieben werden.",en-de,General Legal
Council Directive 74/647/EEC of 9 December 1974 on control of carnation leaf-rollers,Richtlinie 74/647/EWG des Rates vom 9. Dezember 1974 zur Bekämpfung von Nelkenwicklern,en-de,General Legal
"THE ARTICLES REFERRED TO IN ARTICLE 51 AND THE SCIENTIFIC INSTRUMENTS OR APPARATUS WHICH HAVE BEEN ADMITTED DUTY-FREE IN ACCORDANCE WITH THE CONDITIONS LAID DOWN IN ARTICLES 52 TO 56 MAY NOT BE LENT , HIRED OUT OR TRANSFERRED , WHETHER FOR A CONSIDERATION OR FREE OF CHARGE , WITHOUT PRIOR NOTIFICATION TO THE COMPETENT AUTHORITIES.","DIE IN ARTIKEL 51 GENANNTEN GEGENSTÄNDE UND DIE NACH MASSGABE DER ARTIKEL 52 BIS 56 UNTER BEFREIUNG VON DEN EINGANGSABGABEN EINGEFÜHRTEN WISSENSCHAFTLICHEN INSTRUMENTE ODER APPARATE DÜRFEN OHNE VORHERIGE UNTERRICHTUNG DER ZUSTÄNDIGEN BEHÖRDEN WEDER VERLIEHEN , VERMIETET , VERÄUßERT NOCH ÜBERLASSEN WERDEN.",en-de,Contract Law
"Having regard to Council Regulation No 19/65/EEC of 2 March 1965 on the application of Article 85(3) of the Treaty to certain categories of agreements and concerted practices, as last amended by Regulation (EC) No 1215/1999, and in particular Article 1 thereof,","gestützt auf die Verordnung Nr. 19/65/EWG des Rates vom 2. März 1965 über die Anwendung von Artikel 85 Absatz 3 des Vertrags auf Gruppen von Vereinbarungen und aufeinander abgestimmten Verhaltensweisen, zuletzt geändert durch Verordnung (EG) Nr. 1215/1999, insbesondere auf Artikel 1,",en-de,Constitutional Law
Slaughterhouses must have at least:,Schlachthöfe müssen mindestens über folgendes verfügen:,en-de,General Legal
"Having regard to Commission Decision 2001/896/EC of 12 December 2001 setting out the arrangements for Community comparative trials and tests on propagating and planting material of fruit plants under Council directive 92/34/EEC(2), and in particular Article 2 thereof,","gestützt auf die Entscheidung 2001/896/EG der Kommission vom 12. Dezember 2001 mit Verfahrensvorschriften für gemeinschaftliche Vergleichsprüfungen und -tests mit Vermehrungs- und Pflanzmaterial von Obstarten gemäß der Richtlinie 92/34/EWG des Rates(2), insbesondere auf Artikel 2,",en-de,Constitutional Law
Whereas compensation for financial burdens devolving upon transport undertakings by reason of the maintenance of public service obligations must be made in accordance with common procedures;,"Die Belastungen, die aus einer Aufrechterhaltung der Verpflichtungen des öffentlichen Dienstes entstehen, sind nach gemeinsamen Methoden auszugleichen;",en-de,Civil Law
"However, such parameters must be sufficiently precise to allow tenderers to determine the subject-matter of the contract and to allow contracting entities to award the contract;","Die Anforderungen sind jedoch so genau zu fassen, dass sie den Bietern ein klares Bild vom Auftragsgegenstand vermitteln und dem Auftraggeber die Erteilung des Zuschlags ermöglichen;",en-de,Contract Law
There is a rebuttable presumption that an enterprise will be able to determine the fair value of an investment property reliably on a continuing basis.,"Es besteht die widerlegbare Vermutung, dass ein Unternehmen in der Lage sein wird, den beizulegenden Zeitwert einer als Finanzinvestition gehaltenen Immobilie fortwährend verlässlich zu bestimmen.",en-de,Property Law
the results of the pharmaceutical tests referred to in the second indent of Article 8(3)(i);,"die Ergebnisse der in Artikel 8 Absatz 3 Buchstabe i) zweiter Gedankenstrich genannten pharmazeutischen Versuche,",en-de,Constitutional Law
C Glass or waterproof plastic (hard PVC),Glas oder wasserfester Kunststoff (Hart-PVC),en-de,General Legal
"Where an application for asylum is lodged with the competent authorities of a Member State by an applicant who is in the territory of another Member State, the determination of the Member State responsible shall be made by the Member State in whose territory the applicant is present.","Stellt ein Antragsteller bei den zuständigen Behörden eines Mitgliedstaats einen Asylantrag, während er sich im Hoheitsgebiet eines anderen Mitgliedstaats aufhält, obliegt die Bestimmung des zuständigen Mitgliedstaats dem Mitgliedstaat, in dessen Hoheitsgebiet sich der Antragsteller aufhält.",en-de,General Legal
"3 the period of validity of the SoCPF, which should be specified by the Contracting Governments but should not exceed five years; and.","3 die Geltungsdauer der Erklärung über die Einhaltung der Vorschriften durch die Hafenanlage, die von den Vertragsregierungen festgelegt werden soll, ohne fünf Jahre zu überschreiten;.",en-de,General Legal
"4.Paragraph 1 shall not apply in cases where the farmer proves, to the satisfaction of the Member State, that the price of sale or lease corresponds to the value of the holding or, in case of partial transfer of part of the holding without payment entitlements.","Absatz 1 kommt nicht zur Anwendung, wenn der Betriebsinhaber gegenüber dem Mitgliedstaat nachweist, dass der Erlös aus dem Verkauf oder der Verpachtung dem Wert des Betriebs oder, im Falle einer teilweisen Übertragung, des betreffenden Betriebsteils ohne Zahlungsansprüche entspricht.",en-de,Property Law
2 checks to ensure that cargo entering the port facility matches the delivery note or equivalent cargo documentation;.,"2 Überprüfungen, um sicherzustellen, dass die in die Hafenanlage eingeführte Ladung mit dem Lieferschein beziehungsweise den entsprechenden Ladungsunterlagen übereinstimmt;.",en-de,General Legal
ROLE OF EUROSTAT AND RELATIONS WITH THE APPROPRIATE AUTHORITIES IN THE MEMBER STATES,AUFGABE VON EUROSTAT UND BEZIEHUNGEN ZU DEN ZUSTÄNDIGEN BEHÖRDEN DER MITGLIEDSTAATEN,en-de,General Legal
"The certificate shall have been issued by authorities empowered to this effect on the basis of laws or regulations of the third country concerned, as submitted, in accordance with the provisions of the IPPC, to the Director General of FAO, or, in the case of third countries non-party to the IPPC, to the Commission.","Die Zeugnisse müssen von Behörden ausgestellt worden sein, die hierzu aufgrund der Rechts- und Verwaltungsvorschriften des betreffenden Drittlands, die gemäß den Bestimmungen des IPPC dem Generaldirektor der FAO oder - bei Drittländern, die nicht Vertragsparteien des IPPC sind - der Kommission vorgelegt wurden, befugt sind.",en-de,Contract Law
Any cryptographic operation performed by the motion sensor shall be in accordance with a specified algorithm and a specified key size.,Jede vom Weg- und/oder Geschwindigkeitsgeber durchgeführte kryptografische Operation entspricht einem genau festgelegten Algorithmus und einer genau festgelegten Schlüsselgröße.,en-de,General Legal
RELIEF FROM EXPORT DUTIES,BEFREIUNG VON DEN AUSFUHRABGABEN,en-de,General Legal
Participants shall have the knowledge and technical competence needed to carry out the activity.,Die Teilnehmer müssen über die für die Durchführung der Maßnahme notwendigen Kenntnisse und fachlichen Fähigkeiten verfügen.,en-de,General Legal
"By way of derogation from the above provisions, Member States may provide that the tax shall become chargeable, for certain transactions or for certain categories of taxable person, either:","Abweichend von den vorstehenden Bestimmungen können die Mitgliedstaaten vorsehen, daß der Steueranspruch für bestimmte Umsätze oder für Gruppen von Steuerpflichtigen zu den folgenden Zeitpunkten entsteht:",en-de,Tax Law
"Flocks and herds of origin of species listed in Annex I, column 2, shall be tested prior to any dispatching of the live animals or hatching eggs from the food business of origin.",Herkunftsherden und Herkunftsbestände der in Anhang I Spalte 2 genannten Arten werden vor dem Versand von lebenden Tieren oder Bruteiern aus dem Herkunftslebensmittelunternehmen untersucht.,en-de,Corporate Law
It is important that prices on the internal market rely less on guaranteed prices.,"Es ist wichtig, dass die Preise auf dem Binnenmarkt weniger stark von den garantierten Preisen abhängen.",en-de,General Legal
"Having published a draft of this Regulation(2),","nach Veröffentlichung eines Entwurfs dieser Verordnung(2),",en-de,Administrative Law
"The Centre's mission should be to identify, assess and communicate current and emerging threats to human health from communicable diseases.","Der Auftrag des Zentrums sollte darin bestehen, durch übertragbare Krankheiten bedingte derzeitige und neu auftretende Risiken für die menschliche Gesundheit zu ermitteln, zu bewerten und Informationen darüber weiterzugeben.",en-de,General Legal
Member States shall lay down the rules on penalties applicable to infringements of the national provisions adopted pursuant to this Directive and shall take all measures necessary to ensure that such rules are implemented.,"Die Mitgliedstaaten legen Vorschriften über Sanktionen fest, die bei einem Verstoß gegen die gemäß dieser Richtlinie erlassenen nationalen Vorschriften zu verhängen sind, und treffen die notwendigen Maßnahmen, um die Durchsetzung dieser Vorschriften zu gewährleisten.",en-de,General Legal
quantities of potatoes intended for the manufacture of potato starch with regard to the surfaces as declared in the cultivation contract referred to in Article 24;,"die Mengen der für die Herstellung von Kartoffelstärke bestimmten Kartoffeln, bezogen auf die im Anbauvertrag gemäß Artikel 24 angegebenen Flächen,",en-de,Contract Law
A distance travelled during all or part of a journey.,Während einer Fahrt oder eines Teils einer Fahrt zurückgelegte Wegstrecke.,en-de,General Legal
The holders of certain quantities of waste oils containing impurities in excess of certain percentages must handle and stock them separately.,"Die Besitzer bestimmter Mengen von Altölen, deren Gehalt an Verunreinigungen bestimmte Hundertsätze übersteigt, müssen diese Altöle gesondert handhaben und lagern.",en-de,Environmental Law
Summary table by reporting year and according to the Community airport size category.,Übersichtstabelle nach Meldejahr und nach Größenklasse des Gemeinschaftsflughafens.,en-de,General Legal
"IN THE CASE OF A POSITIVE OR DOUBTFUL RESULT FROM ANALYSIS OF A COLLECTIVE SPECIMEN , THE REMAINING SINGLE SPECIMENS TO BE ANALYZED INDIVIDUALLY AFTER ADDITION OF A FURTHER 20 G FROM EACH PIG , OR , IN THE CASE OF PIECES OF MEAT , THE ADDITION OF 20 G TAKEN FROM EACH PIECE , IN ACCORDANCE WITH ( B ) ABOVE .","BEI POSITIVEM ODER ZWEIFELHAFTEM AUSFALL DER UNTERSUCHUNG EINER SAMMELPROBE SIND DIE ENTSPRECHENDEN RESTLICHEN EINZELPROBEN , VERMEHRT UM WEITERE 20 G AUS JEDEM SCHWEIN , ODER , FALLS ES SICH UM FLEISCHTEILE HANDELT , JEWEILS VERMEHRT UM 20 G AUS JEDEM FLEISCHTEIL , EINZELN ZU UNTERSUCHEN , IN ÜBEREINSTIMMUNG MIT DEN REGELN WIE OBEN UNTER B ) ERWÄHNT .",en-de,General Legal
"Council Regulation (EC) No 2223/96 of 25 June 1996 on the European system of national and regional accounts in the Community(3) contains the reference framework of common standards, definitions, classifications and accounting rules for drawing up the accounts of the Member States for the statistical requirements of the Community, in order to obtain comparable results between Member States.","Die Verordnung (EG) Nr. 2223/96 des Rates vom 25. Juni 1996 zum Europäischen System Volkswirtschaftlicher Gesamtrechnungen auf nationaler und regionaler Ebene in der Europäischen Gemeinschaft(3) bildet den Bezugsrahmen für gemeinsame Standards, Definitionen, Klassifikationen und Buchungsregeln zur Erstellung der Konten der Mitgliedstaaten für den statistischen Bedarf der Gemeinschaft und ermöglicht es damit, zu Ergebnissen zu gelangen, die zwischen den Mitgliedstaaten vergleichbar sind.",en-de,Administrative Law
"In the case of services operated by a group of air carriers, only one of the participating air carriers can apply for the required slots.","Für Dienste, die durch eine Gruppe von Luftfahrtunternehmen betrieben werden, kann nur eines der beteiligten Luftfahrtunternehmen die benötigten Zeitnischen beantragen.",en-de,General Legal
""" TYPE-APPROVAL "" IN THE LAW OF THE UNITED KINGDOM .","type approval im Recht des Vereinigten Königreichs,",en-de,General Legal
"the Appointing Authority shall draw up a list containing, if possible, the names of two officials in each grade in each function group.","Die Anstellungsbehörde stellt eine Liste auf, die soweit möglich die Namen von zwei Beamten aus jeder Besoldungsgruppe in jeder Funktionsgruppe enthält.",en-de,Administrative Law
Purpose and scope,Gegenstand und Anwendungsbereich,en-de,General Legal
layout drawing of the heating system showing its position in the vehicle.,Zusammenstellungszeichnung der Heizung mit Angabe ihrer Anordnung im Fahrzeug.,en-de,General Legal
"The Management Board, having received the agreement of the Commission and the opinion of the Court of Auditors, shall adopt the Agency's Financial Regulation, which shall in particular specify the procedure to be used for drawing up and implementing the Agency's budget, in accordance with Article 142 of the Financial Regulation applicable to the general budget of the European Communities.","Der Verwaltungsrat erlässt nach Zustimmung der Kommission und nach Stellungnahme des Rechnungshofs die Finanzordnung der Agentur, die insbesondere das Verfahren für die Aufstellung und Ausführung des Haushaltsplans der Agentur nach Artikel 142 der Haushaltsordnung für den Gesamthaushaltsplan der Europäischen Gemeinschaften umfasst.",en-de,Contract Law
